purchase_order_id,line_no,product_id,product_barcode,product_name,quantity,purchase_price,line_amount
20004,4,153,9780387985299,Active rules in database systems,31,45.82,1420.42
20004,5,154,9781292061184,"Database Systems - A Practical Approach to Design, Implementation, and Management",35,47.4,1659.0
20004,6,155,9780070614819,Filing and database systems,15,48.98,734.7
20004,7,156,9780471467922,Mobile Database Systems,19,50.56,960.64
20004,8,157,9780136006374,A first course in database systems,23,45.82,1053.86
20004,9,158,9780071136686,Advanced concepts in operating systems,27,47.4,1279.8
20004,10,159,9780080490724,Component database systems,31,48.98,1518.38
20005,1,160,9780130428981,An advanced course in database systems,20,47.4,948.0
20005,2,161,9780130402646,Database system implementation,24,48.98,1175.52
20005,3,162,9780321189561,Introduction to Database Systems,28,50.56,1415.68
20005,4,163,9780137386185,Principles of relational database systems,32,45.82,1466.24
20005,5,164,9780877091158,Database systems management and design,36,47.4,1706.4
20005,6,165,9781315213958,Nontraditional Database Systems,16,48.98,783.68
20005,7,166,9781439812471,Bioinformatics Database Systems,20,50.56,1011.2
20005,8,167,9783211826140,Advances in database systems,24,45.82,1099.68
20005,9,168,9788131792476,Fundamentals of Database Systems,28,47.4,1327.2
20005,10,169,9780387399409,Encyclopedia of database systems,32,48.98,1567.36
20006,1,170,9780130909336,Database Systems Using Oracle,16,47.4,758.4
20006,2,171,9780126443752,Relational database systems,20,48.98,979.6
20006,3,172,9780130619600,Management information systems,24,50.56,1213.44
20006,4,173,9781601980786,Architecture of a database system,28,45.82,1282.96
20006,5,174,9788177585674,Database systems,32,47.4,1516.8
20006,6,175,9780070108295,Distributed databases,12,48.98,587.76
20006,7,176,9780138155049,Database Systems,16,50.56,808.96
20006,8,177,9781292025827,First Course in Database Systems,20,45.82,916.4
20006,9,178,9783030731939,Database Systems for Advanced Applications,24,47.4,1137.6
20006,10,179,9780071325226,Database System Concept 6/E (EPZ),28,48.98,1371.44
20007,1,180,9780072554816,Database Systems Concepts with Oracle CD,17,47.4,805.8
20007,2,181,9781337688826,"Database Systems Design, Implementation, and Management, Loose-Leaf Version",21,48.98,1028.58
20007,3,182,9780077103651,Database System Concepts,25,50.56,1264.0
20007,4,183,9780321204486,Fundamentals of Database Systems,29,45.82,1328.78
20007,5,184,9780131354289,Database Systems : The Complete Book,33,47.4,1564.2
20007,6,185,9780306469886,Real-Time Database Systems,13,48.98,636.74
20007,7,186,9781000562125,Database Systems,17,50.56,859.52
20007,8,187,9788120712638,Database System,21,45.82,962.22
20007,9,188,9780201590982,Modern Database Systems,25,47.4,1185.0
20007,10,189,9780357475140,Bundle,29,48.98,1420.42
20008,1,190,9780128004708,RDF database systems,18,47.4,853.2
20008,2,191,9780077095000,Database Systems,22,48.98,1077.56
20008,3,192,9780155000292,Database systems,26,50.56,1314.56
20008,4,193,9780071246507,Introduction to database systems,30,45.82,1374.6
20008,5,194,9780881751888,Principles of database and knowledge-base systems,34,47.4,1611.6
20008,6,195,9781943153671,Database Systems,14,48.98,685.72
20008,7,196,9780137156818,Principles of distributed database systems,18,50.56,910.08
20008,8,197,9789290922094,The EXOSAT database system,22,45.82,1008.04
20008,9,198,9781461304630,Multimedia Database Systems,26,47.4,1232.4
20008,10,199,9783528054113,Recovery in parallel database systems,30,48.98,1469.4
20009,1,200,9789332901384,Database System Concepts,19,47.4,900.6
20009,2,201,9780805368307,Fund Database System,23,48.98,1126.54
20009,3,202,9783642120909,Advances In Intelligent Information And Database Systems,27,50.56,1365.12
20009,4,203,9780387556932,Advanced database systems,31,45.82,1420.42
20009,5,204,9780415302067,Nontraditional database systems,35,47.4,1659.0
20009,6,205,9783540120322,Relational database systems,15,48.98,734.7
20009,7,206,9780862382377,Databases and Database Systems,19,50.56,960.64
20009,8,207,9780131970885,Database Systems,23,45.82,1053.86
20009,9,208,9781285099675,Database System,27,47.4,1279.8
20009,10,209,9783031217425,Intelligent Information and Database Systems,31,48.98,1518.38
20010,1,210,9783642008870,Database Systems for Advanced Applications,20,47.4,948.0
20010,2,211,9780038757855,Advances in object-oriented database systems,24,48.98,1175.52
20010,3,212,9781435626393,Readings in database systems,28,50.56,1415.68
20010,4,213,9780201542639,Fundamentals of database systems,32,45.82,1466.24
20010,5,214,9780321122261,Fundamentals of Database Systems,36,47.4,1706.4
20010,6,215,9788120312579,Object Oriented Database Systems,16,48.98,783.68
20010,7,216,9780136063261,Introduction to Database Systems,20,50.56,1011.2
20010,8,217,9781292436364,Pearson EText for Database Systems,24,45.82,1099.68
20010,9,218,9780321185563,Principles of Database Systems with Internet and Java Applications,28,47.4,1327.2
20010,10,219,9781032202020,Database Systems,32,48.98,1567.36
20011,1,220,9780201146479,Prolog programming,16,47.4,758.4
20011,2,221,9780387197326,Specifications of Database Systems,20,48.98,979.6
20011,3,222,9781461561620,Real-time database systems,24,50.56,1213.44
20011,4,223,9780071204132,Database,28,45.82,1282.96
20011,5,224,9780080515595,Query processing for advanced database systems,32,47.4,1516.8
20011,6,225,9781322050324,Developing Quality Complex Database Systems,12,48.98,587.76
20011,7,226,9781484211922,Database Systems: A Pragmatic Approach,16,50.56,808.96
20011,8,227,9781280519192,Mobile Database Systems,20,45.82,916.4
20011,9,228,9781774697610,Advanced Database Systems,24,47.4,1137.6
20011,10,229,9781461540953,Climate and Environmental Database Systems,28,48.98,1371.44
20012,1,230,9781322670508,Database management systems,17,47.4,805.8
20012,2,231,9780792398721,Video database systems,21,48.98,1028.58
20012,3,232,9780632031160,Relational Database Systems,25,50.56,1264.0
20012,4,233,9780071151108,Database management systems,29,45.82,1328.78
20012,5,234,9780201624397,Object-oriented database systems,33,47.4,1564.2
20012,6,235,9781292024479,Database Systems : Pearson New International Edition,13,48.98,636.74
20012,7,236,9781475769371,Visual Database Systems 3,17,50.56,859.52
20012,8,237,9781447116165,The Architectural Logic of Database Systems,21,45.82,962.22
20012,9,238,9789819755684,Database Systems for Advanced Applications,25,47.4,1185.0
20012,10,239,9783319754192,Intelligent Information and Database Systems,29,48.98,1420.42
20013,1,240,9781627050296,Similarity Joins in Relational Database Systems,18,47.4,853.2
20013,2,241,9781558600003,Readings in object-oriented database systems,22,48.98,1077.56
20013,3,242,9781844804528,Database management systems,26,50.56,1314.56
20013,4,243,9781558602168,Management of heterogeneous and autonomous database systems,30,45.82,1374.6
20013,5,244,9780934613651,Readings in database systems,34,47.4,1611.6
20013,6,245,9781461482642,Encyclopedia of Database Systems,14,48.98,685.72
20013,7,246,9789812798015,Intelligent Image Database Systems,18,50.56,910.08
20013,8,247,9781779561701,Fundamentals of Database Systems,22,45.82,1008.04
20013,9,248,9783540009481,Aspect-oriented database systems,26,47.4,1232.4
20013,10,249,9788478290758,SISTEMAS DE BASES DE DATOS,30,48.98,1469.4
20014,1,250,9780201844528,XML data management,19,47.4,900.6
20014,2,251,9781402053924,Spatial database systems,23,48.98,1126.54
20014,3,252,9783540587101,Multimedia database systems,27,50.56,1365.12
20014,4,253,9780818688386,Tutorial,31,45.82,1420.42
20014,5,254,9780387522098,MAXDATA,35,47.4,1659.0
20014,6,255,9780130412126,Principles of Distributed Database Systems,15,48.98,734.7
20014,7,256,9781639871513,Database Systems,19,50.56,960.64
20014,8,257,9780130319951,Database systems,23,45.82,1053.86
20014,9,258,9780429282843,Database Management System,27,47.4,1279.8
20014,10,259,9783662493892,Intelligent Information and Database Systems,31,48.98,1518.38
20015,1,260,9780201107159,Concurrency control and recovery in database systems,20,47.4,948.0
20015,2,261,9780716781585,Principles of Database & Knowledge-Base Systems Vol. 1,24,48.98,1175.52
20015,3,262,9780357478967,Bundle : Database Systems,28,50.56,1415.68
20015,4,263,9780553091564,Distributed and multi-database systems,32,45.82,1466.24
20015,5,264,9783642121463,Intelligent Information and Database Systems,36,47.4,1706.4
20015,6,265,9783642843747,On Object-Oriented Database Systems,16,48.98,783.68
20015,7,266,9784431683094,Object-Oriented Database System,20,50.56,1011.2
20015,8,267,9780387699363,Sequence data mining,24,45.82,1099.68
20015,9,268,9780471478478,Database Systems,28,47.4,1327.2
20015,10,269,9781418848576,Database System,32,48.98,1567.36
20016,1,270,9780072359527,Database Systems,16,47.4,758.4
20016,2,271,9781425774608,Database Systems,20,48.98,979.6
20016,3,272,9781979614566,Database Systems,24,50.56,1213.44
20016,4,273,9781979430807,Database Systems,28,45.82,1282.96
20016,5,274,9781981839902,Database Systems,32,47.4,1516.8
20016,6,275,9780321292711,Database Systems,12,48.98,587.76
20016,7,276,9781418836504,Database Systems,16,50.56,808.96
20016,8,277,9789630566360,A practical approach to database systems,20,45.82,916.4
20016,9,278,9781505334814,Database Systems,24,47.4,1137.6
20016,10,279,9789211196696,ESCAP minerals database system,28,48.98,1371.44
20017,1,280,9781977723413,Federated Database System,17,47.4,805.8
20017,2,281,9781505334876,Database Systems,21,48.98,1028.58
20017,3,282,9781719121279,Heterogeneous Database System,25,50.56,1264.0
20017,4,283,9780619062699,Database systems,29,45.82,1328.78
20017,5,284,9780789572684,Database System,33,47.4,1564.2
20017,6,285,9781492040347,Database Internals,13,48.98,636.74
20017,7,286,9783642374517,Database Systems for Advanced Applications,17,50.56,859.52
20017,8,287,9783319162119,New Trends in Intelligent Information and Database Systems,21,45.82,962.22
20017,9,288,9783319382371,Advanced Approaches to Intelligent Information and Database Systems,25,47.4,1185.0
20017,10,289,9781019251669,A self-organizing database system - a different approach to query optimization,29,48.98,1420.42
20018,1,290,9780444877185,Relational database systems,18,47.4,853.2
20018,2,291,9781292025889,Database Systems : Pearson New International Edition,22,48.98,1077.56
20018,3,292,9780387120324,Relational Database Systems,26,50.56,1314.56
20018,4,293,9780863113468,Semantic Database Systems,30,45.82,1374.6
20018,5,294,9783642688492,Relational Database Systems,34,47.4,1611.6
20018,6,295,9780077072407,Expert database systems,14,48.98,685.72
20018,7,296,9780029461945,Database Systems Principle,18,50.56,910.08
20018,8,297,9781447138198,Interfaces to Database Systems,22,45.82,1008.04
20018,9,298,9789144253718,Databases and Database Systems,26,47.4,1232.4
20018,10,299,9780862380915,Databases and database systems,30,48.98,1469.4
20019,1,300,9780412844003,Visual database systems 4 (VDB4),19,47.4,900.6
20019,2,301,9780072471410,Database Management Systems,23,48.98,1126.54
20019,3,302,9783540245711,Database Systems for Advanced Applications,27,50.56,1365.12
20019,4,303,9781774694428,Creation and Management of Database Systems,31,45.82,1420.42
20019,5,304,9783642579394,Advances in Object-Oriented Database Systems,35,47.4,1659.0
20019,6,305,9781558603042,Active database systems,15,48.98,734.7
20019,7,306,9781461346418,Advanced database indexing,19,50.56,960.64
20019,8,307,9780201536478,"Fundamentals Database Systems, Oracle Programming 8.0, Oracl",23,45.82,1053.86
20019,9,308,9783642365478,Intelligent Information and Database Systems,27,47.4,1279.8
20019,10,309,9780198596660,Database systems engineering,31,48.98,1518.38
20020,1,310,9780619213725,Database Systems Ise,20,47.4,948.0
20020,2,311,9783642688485,Relational Database Systems,24,48.98,1175.52
20020,3,312,9781850321156,Database Systems Engineering,28,50.56,1415.68
20020,4,313,9780201544008,Distributed database systems,32,45.82,1466.24
20020,5,314,9788131743089,Distributed database systems,36,47.4,1706.4
20020,6,315,9781456611743,Relational Database Systems,16,48.98,783.68
20020,7,316,9780070216266,Database systems handbook,20,50.56,1011.2
20020,8,317,9780077096007,Web Database Systems,24,45.82,1099.68
20020,9,318,9780470245705,Mobile Database Systems,28,47.4,1327.2
20020,10,319,9780123822550,Expert database systems,32,48.98,1567.36
20021,1,320,9780201612554,Fundamentals Database Systems,16,47.4,758.4
20021,2,321,9783642609510,Multimedia Database Systems,20,48.98,979.6
20021,3,322,9781305866799,Database Systems,24,50.56,1213.44
20021,4,323,9781496086266,Database Systems and Applications,28,45.82,1282.96
20021,5,324,9780136142157,Recovery Mechanisms in Database Systems,32,47.4,1516.8
20021,6,325,9783642609503,Multimedia Database Systems,12,48.98,587.76
20021,7,326,9780792397120,Multimedia Database Systems,16,50.56,808.96
20021,8,327,9781782223801,Oracle Database System Design,20,45.82,916.4
20021,9,328,9783540210474,Database systems for advanced applications,24,47.4,1137.6
20021,10,329,9781447132257,Rules in Database Systems,28,48.98,1371.44
20022,1,330,9780412721700,Visual database systems 3,17,47.4,805.8
20022,2,331,9781601987549,Design and Implementation of Modern Column-Oriented Database Systems,21,48.98,1028.58
20022,3,332,9789819759330,Recent Challenges in Intelligent Information and Database Systems,25,50.56,1264.0
20022,4,333,9783031306365,Database Systems for Advanced Applications,29,45.82,1328.78
20022,5,334,9780132282116,Database Systems,33,47.4,1564.2
20022,6,335,9781461378242,Real-Time Database Systems,13,48.98,636.74
20022,7,336,9780792372189,Real-time database systems,17,50.56,859.52
20022,8,337,9780070614857,Filing and Database Systems,21,45.82,962.22
20022,9,338,9780201709285,Foundation for future database systems,25,47.4,1185.0
20022,10,339,9781475744576,Advances in visual information management,29,48.98,1420.42
20023,1,340,9789388176620,Fundamentals of Database Management System,18,47.4,853.2
20023,2,341,9780160452413,Mapping the World of Education,22,48.98,1077.56
20023,3,342,9780080498560,Active Database Systems,26,50.56,1314.56
20023,4,343,9780387503455,Advances in Object-Oriented Database Systems,30,45.82,1374.6
20023,5,344,9789810213152,Database systems for next-generation applications,34,47.4,1611.6
20023,6,345,9783642201530,Database Systems for Advanced Applications,14,48.98,685.72
20023,7,346,9780877786719,Introduction to Database Systems,18,50.56,910.08
20023,8,347,9781903337233,Management Of Database Systems,22,45.82,1008.04
20023,9,348,9781680838480,Database Systems on GPUs,26,47.4,1232.4
20023,10,349,9798655957787,Introduction to Database Systems,30,48.98,1469.4
20024,1,350,9788177584769,Fundamentals of Database Systems,19,47.4,900.6
20024,2,351,9781680833249,Main Memory Database Systems,23,48.98,1126.54
20024,3,352,9781730835223,Aero/Fluids Database System,27,50.56,1365.12
20024,4,353,9788131731925,Introduction to database systems,31,45.82,1420.42
20024,5,354,9783642056697,Aspect-Oriented Database Systems,35,47.4,1659.0
20024,6,355,9789810223908,Intelligent image database systems,15,48.98,734.7
20024,7,356,9780321180957,Fundamentals of Database Systems,19,50.56,960.64
20024,8,357,9780471264767,Explorations of Database Systems,23,45.82,1053.86
20024,9,358,9780863800146,A PROLOG database system,27,47.4,1279.8
20024,10,359,9780471730255,Fundamentals of Database Systems,31,48.98,1518.38
20025,1,360,9780130575913,Fundamentals of Database Systems,20,47.4,948.0
20025,2,361,9780070447578,Ri Im Database Systems,24,48.98,1175.52
20025,3,362,9781584886204,Handbook of Database Systems,28,50.56,1415.68
20025,4,363,9780582850118,Database Systems and Principles of Database Systems with Internet and Java Applications,32,45.82,1466.24
20025,5,364,9783031442292,Real-Time Database Systems,36,47.4,1706.4
20025,6,365,9780805332704,Expert database systems,16,48.98,783.68
20025,7,366,9780875241456,"Reflex, the analytic database system",20,50.56,1011.2
20025,8,367,9783030141318,Intelligent Information and Database Systems,24,45.82,1099.68
20025,9,368,9780805332711,Expert Database Systems,28,47.4,1327.2
20025,10,369,9780262021517,Data models,32,48.98,1567.36
20026,1,370,9783642121449,Intelligent information and database systems,16,47.4,758.4
20026,2,371,9781306496773,Database Systems for Advanced Applications '93 - Proceedings of the 3rd International Symposium on Database Systems for Advanced Applications,20,48.98,979.6
20026,3,372,9781299663244,Database Systems for Advanced Applications '97 - Proceedings of the 5th International Conference on Database Systems for Advanced Applications,24,50.56,1213.44
20026,4,373,9780792372158,Data quality,28,45.82,1282.96
20026,5,374,9783319320250,Database Systems for Advanced Applications,32,47.4,1516.8
20026,6,375,9780890062135,Distributed Database Systems (Distributed Systems),12,48.98,587.76
20026,7,376,9780256082296,Database systems for management,16,50.56,808.96
20026,8,377,9783642199547,New Challenges for Intelligent Information and Database Systems,20,45.82,916.4
20026,9,378,9783319566597,Advanced Topics in Intelligent Information and Database Systems,24,47.4,1137.6
20026,10,379,9783319810041,Recent Developments in Intelligent Information and Database Systems,28,48.98,1371.44
20027,1,380,9781402053931,Spatial Database Systems,17,47.4,805.8
20027,2,381,9781558605497,Image Database Systems and Techniques,21,48.98,1028.58
20027,3,382,9780805303117,Proceedings from the Second International Conference on Expert Database Systems,25,50.56,1264.0
20027,4,383,9780130892089,Accounting information systems,29,45.82,1328.78
20027,5,384,9780387138312,Query Processing in Database Systems (Topics in Information Systems),33,47.4,1564.2
20027,6,385,9780444896094,"Visual database systems, II",13,48.98,636.74
20027,7,386,9789385676345,Database Management Systems (DBMS),17,50.56,859.52
20027,8,387,9783319157023,Intelligent Information and Database Systems,21,45.82,962.22
20027,9,388,9780769511306,Cooperative Database Systems for Advanced Applications (Codas 2001),25,47.4,1185.0
20027,10,389,9780890062142,Distributed Processing and Database Systems,29,48.98,1420.42
20028,1,390,9780256112672,Casebook:Database Systems Mangmt 2,18,47.4,853.2
20028,2,391,9780619062705,DATABASE SYSTEMS DES IMP IRK,22,48.98,1077.56
20028,3,392,9780138876470,First Course in Database Systems,26,50.56,1314.56
20028,4,393,9789332535206,First Course in Database Systems,30,45.82,1374.6
20028,5,394,9783642823763,Query Processing in Database Systems,34,47.4,1611.6
20028,6,395,9789332518674,Database Systems The Complete Book,14,48.98,685.72
20028,7,396,9780357673072,"Database Systems, Loose-Leaf Version",18,50.56,910.08
20028,8,397,9788120351455,Database Systems with Case Studies,22,45.82,1008.04
20028,9,398,9781484208786,Database Systems: A Pragmatic Approach,26,47.4,1232.4
20028,10,399,9781461368335,Climate and Environmental Database Systems,30,48.98,1469.4
20029,1,400,9783322938602,Recovery in Parallel Database Systems,19,47.4,900.6
20029,2,401,9783642120275,Database Systems for Advanced Applications,23,48.98,1126.54
20029,3,402,9783642202452,Database Systems for Advanced Applications,27,50.56,1365.12
20029,4,403,9783642120992,Database Systems for Advanced Applications,31,45.82,1420.42
20029,5,404,9783642823756,Query Processing in Database Systems,35,47.4,1659.0
20029,6,405,9780471927624,A fuzzy PROLOG database system,15,48.98,734.7
20029,7,406,9780116304698,Database systems for statistical applications,19,50.56,960.64
20029,8,407,9781441988331,Principles of distributed database systems,23,45.82,1053.86
20029,9,408,9780256093568,Instructor's Manual for Database System,27,47.4,1279.8
20029,10,409,9781558603783,Fundamentals of Active Database Systems,31,48.98,1518.38
20030,1,410,9783928134910,kleio,20,47.4,948.0
20030,2,411,9788178670416,Principles of Multimedia Database Systems,24,48.98,1175.52
20030,3,412,9788120712645,Database System Design and Development,28,50.56,1415.68
20030,4,413,9780130863874,Database System Implementation International Edition,32,45.82,1466.24
20030,5,414,9781878289889,Developing Quality Complex Database Systems,36,47.4,1706.4
20030,6,415,9781538835814,Studyguide for Database Systems,16,48.98,783.68
20030,7,416,9780585380001,Developing Quality Complex Database Systems,20,50.56,1011.2
20030,8,417,9780738409061,Database Systems Management,24,45.82,1099.68
20030,9,418,9780201547320,"Introduction to Database Systems, An",28,47.4,1327.2
20030,10,419,9789814021555,Database Systems '99,32,48.98,1567.36
20031,1,420,9783540199830,Active and real-time database systems (ARTDB-95),16,47.4,758.4
20031,2,421,9781447134244,Interfaces to Database Systems,20,48.98,979.6
20031,3,422,9789061962519,Query processing and data allocation in distributed database systems,24,50.56,1213.44
20031,4,423,9780818654527,Query processing in parallel relational database systems,28,45.82,1282.96
20031,5,424,9789813083912,Database systems 98,32,47.4,1516.8
20031,6,425,9781402076008,Object management in distributed database systems for stationary and mobile computing environments,12,48.98,587.76
20031,7,426,9780471262978,Fundamentals of Database Management Systems,16,50.56,808.96
20031,8,427,9781306396011,Database Systems for Next-Generation Applications,20,45.82,916.4
20031,9,428,9781337627931,MindTap for Coronel/Morris' Database Systems,24,47.4,1137.6
20031,10,429,9789814503686,Database Systems for Next-Generation Applications,28,48.98,1371.44
20032,1,430,9781475769395,Visual Database Systems 4 (VDB4),17,47.4,805.8
20032,2,431,9789993029007,Framework for Distributed Database Systems,21,48.98,1028.58
20032,3,432,9780201071856,The Ingres papers,25,50.56,1264.0
20032,4,433,9780792378884,Semantic models for multimedia database searching and browsing,29,45.82,1328.78
20032,5,434,9780072322064,Database management systems,33,47.4,1564.2
20032,6,435,9781483298474,Interoperable Database Systems,13,48.98,636.74
20032,7,436,9780201530926,Object data management,17,50.56,859.52
20032,8,437,9780893913441,New directions for database systems,21,45.82,962.22
20032,9,438,9783540195139,The architectural logic of database systems,25,47.4,1185.0
20032,10,439,9781423569305,The Dolphin Didactic Database System (DODDS),29,48.98,1420.42
20033,1,440,9780897919104,Symposium on Principles of Database Systems,18,47.4,853.2
20033,2,441,9780359518043,Relational Database Systems - Why and How,22,48.98,1077.56
20033,3,442,9781483294643,Concurrency Control in Distributed Database Systems,26,50.56,1314.56
20033,4,443,9781461562283,Indexing Techniques for Advanced Database Systems,30,45.82,1374.6
20033,5,444,9789090053950,Integrity Control in Parallel Database Systems,34,47.4,1611.6
20033,6,445,9783826515132,Federation and migration among database systems,14,48.98,685.72
20033,7,446,9780131737181,"GOAL Student Access Card, Database Systems",18,50.56,910.08
20033,8,447,9780080500430,Building an Object-Oriented Database System,22,45.82,1008.04
20033,9,448,9783925630552,Temporal modeling in relational database systems,26,47.4,1232.4
20033,10,449,9781461562276,Indexing Techniques for Advanced Database Systems,30,48.98,1469.4
20034,1,450,9780070614826,"Filing and Database Systems, Practice Set",19,47.4,900.6
20034,2,451,9780444704092,Concurrency control in distributed database systems,23,48.98,1126.54
20034,3,452,9780867202052,Concurrency in programming and database systems,27,50.56,1365.12
20034,4,453,9780750300483,Database systems in science and engineering,31,45.82,1420.42
20034,5,454,9780333371008,Principles and practice of database systems,35,47.4,1659.0
20034,6,455,9780792399858,Indexing techniques for advanced database systems,15,48.98,734.7
20034,7,456,9780940706088,Controls for Advanced Online Database Systems,19,50.56,960.64
20034,8,457,9780387578255,Advances in object-oriented database systems,23,45.82,1053.86
20034,9,458,9780619137298,Database System,27,47.4,1279.8
20034,10,459,9781558605121,Zaniolo Adv Database Systems Solutions Manual,31,48.98,1518.38
20035,1,460,9781599041728,Implementing Relational Database Systems,20,47.4,948.0
20035,2,461,9780201422771,Database systems,24,48.98,1175.52
20035,3,462,9780136108139,Solutions Manual for Database Systems,28,50.56,1415.68
20035,4,463,9780130654427,Performance of concurrency control mechanisms in centralized database systems,32,45.82,1466.24
20035,5,464,9780585431666,Implementing relational database systems,36,47.4,1706.4
20035,6,465,9780387541327,Parallel database systems,16,48.98,783.68
20035,7,466,9780948036231,Introduction to Database Systems (Management Information Systems),20,50.56,1011.2
20035,8,467,9780769518954,"Eighth International Conference on Database Systems for Advanced Applications (Dasfaa 2003): Kyoto, Japan 26-28 2003",24,45.82,1099.68
20035,9,468,9780387243931,Stream data management,28,47.4,1327.2
20035,10,469,9783642284939,Intelligent Information and Database Systems,32,48.98,1567.36
20036,1,470,9783319223230,Database Systems for Advanced Applications,16,47.4,758.4
20036,2,471,9781522520139,Advancing Cloud Database Systems and Capacity Planning with Dynamic Applications,20,48.98,979.6
20036,3,472,9781581133615,Proceedings of the Twentieth ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,24,50.56,1213.44
20036,4,473,9781792070532,Database Interfaces on Nasa's Heterogeneous Distributed Database System,28,45.82,1282.96
20036,5,474,9781725632226,Database Interfaces on NASA's Heterogeneous Distributed Database System,32,47.4,1516.8
20036,6,475,9780792375999,Information and Database Quality (Advances in Database Systems),12,48.98,587.76
20036,7,476,9781423538479,Distributed Relational Database System of Occasionally Connected Databases,16,50.56,808.96
20036,8,477,9789810213800,Database Systems for Advanced Applications '93,20,45.82,916.4
20036,9,478,9780387198460,Rules in database systems,24,47.4,1137.6
20036,10,479,9780444873347,Visual database systems,28,48.98,1371.44
20037,1,480,9780387701288,Object-Oriented Database System,17,47.4,805.8
20037,2,481,9780201741537,"Fundamentals of Database Systems, with E-book",21,48.98,1028.58
20037,3,482,9781581138580,Proceedings of the Twenty-third ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,25,50.56,1264.0
20037,4,483,9783540717027,Advances in databases,29,45.82,1328.78
20037,5,484,9780387198026,Interfaces to database systems (IDS92),33,47.4,1564.2
20037,6,485,9781447134237,Interfaces to Database Systems (IDS92),13,48.98,636.74
20037,7,486,9781111969608,"Database Systems: Design, Implementation, and Management (with Premium WebSite Printed Access Card and Essential Textbook Resources Printed Access Card)",17,50.56,859.52
20037,8,487,9789810234362,Advanced database systems for integration of media and user environments '98,21,45.82,962.22
20037,9,488,9783540541325,Parallel Database Systems,25,47.4,1185.0
20037,10,489,9783540635161,Rules in database systems,29,48.98,1420.42
20038,1,490,9783540634546,Spatial data types for database systems,18,47.4,853.2
20038,2,491,9783642290398,Database Systems for Advanced Applications,22,48.98,1077.56
20038,3,492,9780201199406,Analysis and comparison of relational database systems,26,50.56,1314.56
20038,4,493,9780471256076,British Audit and Control of Database Systems,30,45.82,1374.6
20038,5,494,9783639041880,Cardinality Estimation Techniques in Relational Database Systems,34,47.4,1611.6
20038,6,495,9780201192155,"An Introduction to Database Systems, Volume 1",14,48.98,685.72
20038,7,496,9780321320865,Introduction Database Systems& Oracle 10g Pk,18,50.56,910.08
20038,8,497,9780321328717,Database Systems Applicatn & Oracle 10g Pkg,22,45.82,1008.04
20038,9,498,9783642754463,Maxdata,26,47.4,1232.4
20038,10,499,9783031132940,Main Memory Management on Relational Database Systems,30,48.98,1469.4
20039,1,500,9781291688894,Learn Database Systems with Implementation and Examples,19,47.4,900.6
20039,2,501,9780387537542,Meta-level control for deductive database systems,23,48.98,1126.54
20039,3,502,9780818648380,Tutorial,27,50.56,1365.12
20039,4,503,9780818602610,Tutorial,31,45.82,1420.42
20039,5,504,9783540701286,Object-oriented Database System (Computer Science Workbench),35,47.4,1659.0
