sale_id,store_id,customer_id,sale_time,payment_method,total_amount,discount_amount,actual_amount
40152,2,2152,2026-06-12 11:31:00,alipay,485.85,24.29,461.56
40153,1,2153,2026-06-13 12:32:00,card,492.96,24.65,468.31
40154,2,2154,2026-06-14 13:33:00,cash,485.85,24.29,461.56
40155,1,,2026-06-15 14:34:00,mixed,485.85,0.0,485.85
40156,2,2156,2026-06-16 15:35:00,wechat,492.96,24.65,468.31
40157,1,2157,2026-06-17 16:36:00,alipay,485.85,24.29,461.56
40158,2,2158,2026-06-18 17:37:00,card,485.85,24.29,461.56
40159,1,2159,2026-06-19 18:38:00,cash,492.96,24.65,468.31
40160,2,2160,2026-06-20 19:39:00,mixed,485.85,24.29,461.56
40161,1,2161,2026-06-21 10:40:00,wechat,485.85,24.29,461.56
40162,2,,2026-06-22 11:41:00,alipay,492.96,0.0,492.96
40163,1,2163,2026-06-23 12:42:00,card,485.85,24.29,461.56
40164,2,2164,2026-06-24 13:43:00,cash,485.85,24.29,461.56
40165,1,2165,2026-06-25 14:44:00,mixed,492.96,24.65,468.31
40166,2,2166,2026-06-26 15:45:00,wechat,485.85,24.29,461.56
40167,1,2167,2026-06-27 16:46:00,alipay,485.85,24.29,461.56
40168,2,2168,2026-06-28 17:47:00,card,492.96,24.65,468.31
40169,1,,2026-06-01 18:48:00,cash,485.85,0.0,485.85
40170,2,2170,2026-06-02 19:49:00,mixed,485.85,24.29,461.56
40171,1,2171,2026-06-03 10:50:00,wechat,492.96,24.65,468.31
40172,2,2172,2026-06-04 11:51:00,alipay,485.85,24.29,461.56
40173,1,2173,2026-06-05 12:52:00,card,485.85,24.29,461.56
40174,2,2174,2026-06-06 13:53:00,cash,492.96,24.65,468.31
40175,1,2175,2026-06-07 14:54:00,mixed,485.85,24.29,461.56
40176,2,,2026-06-08 15:55:00,wechat,485.85,0.0,485.85
40177,1,2177,2026-06-09 16:56:00,alipay,492.96,24.65,468.31
40178,2,2178,2026-06-10 17:57:00,card,485.85,24.29,461.56
40179,1,2179,2026-06-11 18:58:00,cash,485.85,24.29,461.56
40180,2,2180,2026-06-12 19:59:00,mixed,492.96,24.65,468.31
40181,1,2181,2026-06-13 10:00:00,wechat,485.85,24.29,461.56
40182,2,2182,2026-06-14 11:01:00,alipay,485.85,24.29,461.56
40183,1,,2026-06-15 12:02:00,card,492.96,0.0,492.96
40184,2,2184,2026-06-16 13:03:00,cash,485.85,24.29,461.56
40185,1,2185,2026-06-17 14:04:00,mixed,485.85,24.29,461.56
40186,2,2186,2026-06-18 15:05:00,wechat,492.96,24.65,468.31
40187,1,2187,2026-06-19 16:06:00,alipay,485.85,24.29,461.56
40188,2,2188,2026-06-20 17:07:00,card,485.85,24.29,461.56
40189,1,2189,2026-06-21 18:08:00,cash,492.96,24.65,468.31
40190,2,,2026-06-22 19:09:00,mixed,485.85,0.0,485.85
40191,1,2191,2026-06-23 10:10:00,wechat,485.85,24.29,461.56
40192,2,2192,2026-06-24 11:11:00,alipay,492.96,24.65,468.31
40193,1,2193,2026-06-25 12:12:00,card,485.85,24.29,461.56
40194,2,2194,2026-06-26 13:13:00,cash,485.85,24.29,461.56
40195,1,2195,2026-06-27 14:14:00,mixed,492.96,24.65,468.31
40196,2,2196,2026-06-28 15:15:00,wechat,485.85,24.29,461.56
40197,1,,2026-06-01 16:16:00,alipay,485.85,0.0,485.85
40198,2,2198,2026-06-02 17:17:00,card,492.96,24.65,468.31
40199,1,2199,2026-06-03 18:18:00,cash,485.85,24.29,461.56
40200,2,2200,2026-06-04 19:19:00,mixed,485.85,24.29,461.56
40201,1,2201,2026-06-05 10:20:00,wechat,492.96,24.65,468.31
40202,2,2202,2026-06-06 11:21:00,alipay,485.85,24.29,461.56
40203,1,2203,2026-06-07 12:22:00,card,485.85,24.29,461.56
40204,2,,2026-06-08 13:23:00,cash,492.96,0.0,492.96
40205,1,2205,2026-06-09 14:24:00,mixed,485.85,24.29,461.56
40206,2,2206,2026-06-10 15:25:00,wechat,485.85,24.29,461.56
40207,1,2207,2026-06-11 16:26:00,alipay,492.96,24.65,468.31
40208,2,2208,2026-06-12 17:27:00,card,485.85,24.29,461.56
40209,1,2209,2026-06-13 18:28:00,cash,485.85,24.29,461.56
40210,2,2210,2026-06-14 19:29:00,mixed,492.96,24.65,468.31
40211,1,,2026-06-15 10:30:00,wechat,485.85,0.0,485.85
40212,2,2212,2026-06-16 11:31:00,alipay,485.85,24.29,461.56
40213,1,2213,2026-06-17 12:32:00,card,492.96,24.65,468.31
40214,2,2214,2026-06-18 13:33:00,cash,485.85,24.29,461.56
40215,1,2215,2026-06-19 14:34:00,mixed,485.85,24.29,461.56
40216,2,2216,2026-06-20 15:35:00,wechat,492.96,24.65,468.31
40217,1,2217,2026-06-21 16:36:00,alipay,485.85,24.29,461.56
40218,2,,2026-06-22 17:37:00,card,485.85,0.0,485.85
40219,1,2219,2026-06-23 18:38:00,cash,492.96,24.65,468.31
40220,2,2220,2026-06-24 19:39:00,mixed,485.85,24.29,461.56
40221,1,2221,2026-06-25 10:40:00,wechat,485.85,24.29,461.56
40222,2,2222,2026-06-26 11:41:00,alipay,492.96,24.65,468.31
40223,1,2223,2026-06-27 12:42:00,card,485.85,24.29,461.56
40224,2,2224,2026-06-28 13:43:00,cash,485.85,24.29,461.56
40225,1,,2026-06-01 14:44:00,mixed,492.96,0.0,492.96
40226,2,2226,2026-06-02 15:45:00,wechat,485.85,24.29,461.56
40227,1,2227,2026-06-03 16:46:00,alipay,485.85,24.29,461.56
40228,2,2228,2026-06-04 17:47:00,card,492.96,24.65,468.31
40229,1,2229,2026-06-05 18:48:00,cash,485.85,24.29,461.56
40230,2,2230,2026-06-06 19:49:00,mixed,485.85,24.29,461.56
40231,1,2231,2026-06-07 10:50:00,wechat,492.96,24.65,468.31
40232,2,,2026-06-08 11:51:00,alipay,485.85,0.0,485.85
40233,1,2233,2026-06-09 12:52:00,card,485.85,24.29,461.56
40234,2,2234,2026-06-10 13:53:00,cash,492.96,24.65,468.31
40235,1,2235,2026-06-11 14:54:00,mixed,485.85,24.29,461.56
40236,2,2236,2026-06-12 15:55:00,wechat,485.85,24.29,461.56
40237,1,2237,2026-06-13 16:56:00,alipay,492.96,24.65,468.31
40238,2,2238,2026-06-14 17:57:00,card,485.85,24.29,461.56
40239,1,,2026-06-15 18:58:00,cash,485.85,0.0,485.85
40240,2,2240,2026-06-16 19:59:00,mixed,492.96,24.65,468.31
40241,1,2241,2026-06-17 10:00:00,wechat,485.85,24.29,461.56
40242,2,2242,2026-06-18 11:01:00,alipay,485.85,24.29,461.56
40243,1,2243,2026-06-19 12:02:00,card,492.96,24.65,468.31
40244,2,2244,2026-06-20 13:03:00,cash,485.85,24.29,461.56
40245,1,2245,2026-06-21 14:04:00,mixed,485.85,24.29,461.56
40246,2,,2026-06-22 15:05:00,wechat,492.96,0.0,492.96
40247,1,2247,2026-06-23 16:06:00,alipay,485.85,24.29,461.56
40248,2,2248,2026-06-24 17:07:00,card,485.85,24.29,461.56
40249,1,2249,2026-06-25 18:08:00,cash,492.96,24.65,468.31
40250,2,2250,2026-06-26 19:09:00,mixed,485.85,24.29,461.56
40251,1,2251,2026-06-27 10:10:00,wechat,485.85,24.29,461.56
40252,2,2252,2026-06-28 11:11:00,alipay,492.96,24.65,468.31
40253,1,,2026-06-01 12:12:00,card,485.85,0.0,485.85
40254,2,2254,2026-06-02 13:13:00,cash,485.85,24.29,461.56
40255,1,2255,2026-06-03 14:14:00,mixed,492.96,24.65,468.31
40256,2,2256,2026-06-04 15:15:00,wechat,485.85,24.29,461.56
40257,1,2257,2026-06-05 16:16:00,alipay,485.85,24.29,461.56
40258,2,2258,2026-06-06 17:17:00,card,492.96,24.65,468.31
40259,1,2259,2026-06-07 18:18:00,cash,485.85,24.29,461.56
40260,2,,2026-06-08 19:19:00,mixed,485.85,0.0,485.85
40261,1,2261,2026-06-09 10:20:00,wechat,492.96,24.65,468.31
40262,2,2262,2026-06-10 11:21:00,alipay,485.85,24.29,461.56
40263,1,2263,2026-06-11 12:22:00,card,485.85,24.29,461.56
40264,2,2264,2026-06-12 13:23:00,cash,492.96,24.65,468.31
40265,1,2265,2026-06-13 14:24:00,mixed,485.85,24.29,461.56
40266,2,2266,2026-06-14 15:25:00,wechat,485.85,24.29,461.56
40267,1,,2026-06-15 16:26:00,alipay,492.96,0.0,492.96
40268,2,2268,2026-06-16 17:27:00,card,485.85,24.29,461.56
40269,1,2269,2026-06-17 18:28:00,cash,485.85,24.29,461.56
40270,2,2270,2026-06-18 19:29:00,mixed,492.96,24.65,468.31
40271,1,2271,2026-06-19 10:30:00,wechat,485.85,24.29,461.56
40272,2,2272,2026-06-20 11:31:00,alipay,485.85,24.29,461.56
40273,1,2273,2026-06-21 12:32:00,card,492.96,24.65,468.31
40274,2,,2026-06-22 13:33:00,cash,485.85,0.0,485.85
40275,1,2275,2026-06-23 14:34:00,mixed,485.85,24.29,461.56
40276,2,2276,2026-06-24 15:35:00,wechat,492.96,24.65,468.31
40277,1,2277,2026-06-25 16:36:00,alipay,485.85,24.29,461.56
40278,2,2278,2026-06-26 17:37:00,card,485.85,24.29,461.56
40279,1,2279,2026-06-27 18:38:00,cash,492.96,24.65,468.31
40280,2,2280,2026-06-28 19:39:00,mixed,485.85,24.29,461.56
40281,1,,2026-06-01 10:40:00,wechat,485.85,0.0,485.85
40282,2,2282,2026-06-02 11:41:00,alipay,492.96,24.65,468.31
40283,1,2283,2026-06-03 12:42:00,card,485.85,24.29,461.56
40284,2,2284,2026-06-04 13:43:00,cash,485.85,24.29,461.56
40285,1,2285,2026-06-05 14:44:00,mixed,492.96,24.65,468.31
40286,2,2286,2026-06-06 15:45:00,wechat,485.85,24.29,461.56
40287,1,2287,2026-06-07 16:46:00,alipay,485.85,24.29,461.56
40288,2,,2026-06-08 17:47:00,card,492.96,0.0,492.96
40289,1,2289,2026-06-09 18:48:00,cash,485.85,24.29,461.56
40290,2,2290,2026-06-10 19:49:00,mixed,485.85,24.29,461.56
40291,1,2291,2026-06-11 10:50:00,wechat,492.96,24.65,468.31
40292,2,2292,2026-06-12 11:51:00,alipay,485.85,24.29,461.56
40293,1,2293,2026-06-13 12:52:00,card,485.85,24.29,461.56
40294,2,2294,2026-06-14 13:53:00,cash,492.96,24.65,468.31
40295,1,,2026-06-15 14:54:00,mixed,485.85,0.0,485.85
40296,2,2296,2026-06-16 15:55:00,wechat,485.85,24.29,461.56
40297,1,2297,2026-06-17 16:56:00,alipay,492.96,24.65,468.31
40298,2,2298,2026-06-18 17:57:00,card,485.85,24.29,461.56
40299,1,2299,2026-06-19 18:58:00,cash,485.85,24.29,461.56
40300,2,2300,2026-06-20 19:59:00,mixed,492.96,24.65,468.31
40301,1,2301,2026-06-21 10:00:00,wechat,485.85,24.29,461.56
40302,2,,2026-06-22 11:01:00,alipay,485.85,0.0,485.85
40303,1,2303,2026-06-23 12:02:00,card,492.96,24.65,468.31
40304,2,2304,2026-06-24 13:03:00,cash,485.85,24.29,461.56
40305,1,2305,2026-06-25 14:04:00,mixed,485.85,24.29,461.56
40306,2,2306,2026-06-26 15:05:00,wechat,492.96,24.65,468.31
40307,1,2307,2026-06-27 16:06:00,alipay,485.85,24.29,461.56
40308,2,2308,2026-06-28 17:07:00,card,485.85,24.29,461.56
40309,1,,2026-06-01 18:08:00,cash,492.96,0.0,492.96
40310,2,2310,2026-06-02 19:09:00,mixed,485.85,24.29,461.56
40311,1,2311,2026-06-03 10:10:00,wechat,485.85,24.29,461.56
40312,2,2312,2026-06-04 11:11:00,alipay,492.96,24.65,468.31
40313,1,2313,2026-06-05 12:12:00,card,485.85,24.29,461.56
40314,2,2314,2026-06-06 13:13:00,cash,485.85,24.29,461.56
40315,1,2315,2026-06-07 14:14:00,mixed,492.96,24.65,468.31
40316,2,,2026-06-08 15:15:00,wechat,485.85,0.0,485.85
40317,1,2317,2026-06-09 16:16:00,alipay,485.85,24.29,461.56
40318,2,2318,2026-06-10 17:17:00,card,492.96,24.65,468.31
40319,1,2319,2026-06-11 18:18:00,cash,485.85,24.29,461.56
40320,2,2320,2026-06-12 19:19:00,mixed,485.85,24.29,461.56
40321,1,2321,2026-06-13 10:20:00,wechat,492.96,24.65,468.31
40322,2,2322,2026-06-14 11:21:00,alipay,485.85,24.29,461.56
40323,1,,2026-06-15 12:22:00,card,485.85,0.0,485.85
40324,2,2324,2026-06-16 13:23:00,cash,492.96,24.65,468.31
40325,1,2325,2026-06-17 14:24:00,mixed,485.85,24.29,461.56
40326,2,2326,2026-06-18 15:25:00,wechat,485.85,24.29,461.56
40327,1,2327,2026-06-19 16:26:00,alipay,492.96,24.65,468.31
40328,2,2328,2026-06-20 17:27:00,card,485.85,24.29,461.56
40329,1,2329,2026-06-21 18:28:00,cash,485.85,24.29,461.56
40330,2,,2026-06-22 19:29:00,mixed,492.96,0.0,492.96
40331,1,2331,2026-06-23 10:30:00,wechat,485.85,24.29,461.56
40332,2,2332,2026-06-24 11:31:00,alipay,485.85,24.29,461.56
40333,1,2333,2026-06-25 12:32:00,card,492.96,24.65,468.31
40334,2,2334,2026-06-26 13:33:00,cash,485.85,24.29,461.56
40335,1,2335,2026-06-27 14:34:00,mixed,485.85,24.29,461.56
40336,2,2336,2026-06-28 15:35:00,wechat,492.96,24.65,468.31
40337,1,,2026-06-01 16:36:00,alipay,485.85,0.0,485.85
40338,2,2338,2026-06-02 17:37:00,card,485.85,24.29,461.56
40339,1,2339,2026-06-03 18:38:00,cash,492.96,24.65,468.31
40340,2,2340,2026-06-04 19:39:00,mixed,485.85,24.29,461.56
40341,1,2341,2026-06-05 10:40:00,wechat,485.85,24.29,461.56
40342,2,2342,2026-06-06 11:41:00,alipay,492.96,24.65,468.31
40343,1,2343,2026-06-07 12:42:00,card,485.85,24.29,461.56
40344,2,,2026-06-08 13:43:00,cash,485.85,0.0,485.85
40345,1,2345,2026-06-09 14:44:00,mixed,492.96,24.65,468.31
40346,2,2346,2026-06-10 15:45:00,wechat,485.85,24.29,461.56
40347,1,2347,2026-06-11 16:46:00,alipay,485.85,24.29,461.56
40348,2,2348,2026-06-12 17:47:00,card,492.96,24.65,468.31
40349,1,2349,2026-06-13 18:48:00,cash,485.85,24.29,461.56
40350,2,2350,2026-06-14 19:49:00,mixed,485.85,24.29,461.56
40351,1,,2026-06-15 10:50:00,wechat,492.96,0.0,492.96
40352,2,2352,2026-06-16 11:51:00,alipay,485.85,24.29,461.56
40353,1,2353,2026-06-17 12:52:00,card,485.85,24.29,461.56
40354,2,2354,2026-06-18 13:53:00,cash,492.96,24.65,468.31
40355,1,2355,2026-06-19 14:54:00,mixed,485.85,24.29,461.56
40356,2,2356,2026-06-20 15:55:00,wechat,485.85,24.29,461.56
40357,1,2357,2026-06-21 16:56:00,alipay,492.96,24.65,468.31
40358,2,,2026-06-22 17:57:00,card,485.85,0.0,485.85
40359,1,2359,2026-06-23 18:58:00,cash,485.85,24.29,461.56
40360,2,2360,2026-06-24 19:59:00,mixed,492.96,24.65,468.31
40361,1,2361,2026-06-25 10:00:00,wechat,485.85,24.29,461.56
40362,2,2362,2026-06-26 11:01:00,alipay,485.85,24.29,461.56
40363,1,2363,2026-06-27 12:02:00,card,492.96,24.65,468.31
40364,2,2364,2026-06-28 13:03:00,cash,485.85,24.29,461.56
40365,1,,2026-06-01 14:04:00,mixed,485.85,0.0,485.85
40366,2,2366,2026-06-02 15:05:00,wechat,492.96,24.65,468.31
40367,1,2367,2026-06-03 16:06:00,alipay,485.85,24.29,461.56
40368,2,2368,2026-06-04 17:07:00,card,485.85,24.29,461.56
40369,1,2369,2026-06-05 18:08:00,cash,492.96,24.65,468.31
40370,2,2370,2026-06-06 19:09:00,mixed,485.85,24.29,461.56
40371,1,2371,2026-06-07 10:10:00,wechat,485.85,24.29,461.56
40372,2,,2026-06-08 11:11:00,alipay,492.96,0.0,492.96
40373,1,2373,2026-06-09 12:12:00,card,485.85,24.29,461.56
40374,2,2374,2026-06-10 13:13:00,cash,485.85,24.29,461.56
40375,1,2375,2026-06-11 14:14:00,mixed,492.96,24.65,468.31
40376,2,2376,2026-06-12 15:15:00,wechat,485.85,24.29,461.56
40377,1,2377,2026-06-13 16:16:00,alipay,485.85,24.29,461.56
40378,2,2378,2026-06-14 17:17:00,card,492.96,24.65,468.31
40379,1,,2026-06-15 18:18:00,cash,485.85,0.0,485.85
40380,2,2380,2026-06-16 19:19:00,mixed,485.85,24.29,461.56
40381,1,2381,2026-06-17 10:20:00,wechat,492.96,24.65,468.31
40382,2,2382,2026-06-18 11:21:00,alipay,485.85,24.29,461.56
40383,1,2383,2026-06-19 12:22:00,card,485.85,24.29,461.56
40384,2,2384,2026-06-20 13:23:00,cash,492.96,24.65,468.31
40385,1,2385,2026-06-21 14:24:00,mixed,485.85,24.29,461.56
