sale_id,line_no,product_id,quantity,unit_price,line_amount
5129,5,10005,1,47,47
5130,1,10078,4,45,180
5131,1,10091,4,89,356
5131,2,10072,5,26,130
5131,3,10082,2,40,80
5132,1,10013,2,71,142
5132,2,10078,5,42,210
5132,3,10075,3,112,336
5132,4,10057,3,59,177
5133,1,10071,5,65,325
5133,2,10080,4,21,84
5133,3,10057,4,77,308
5133,4,10031,5,81,405
5133,5,10091,1,98,98
5134,1,10019,3,75,225
5134,2,10103,3,111,333
5134,3,10087,2,74,148
5134,4,10026,3,29,87
5134,5,10074,5,48,240
5135,1,10017,2,36,72
5135,2,10027,5,108,540
5135,3,10014,1,99,99
5135,4,10053,5,88,440
5136,1,10006,3,35,105
5136,2,10071,3,100,300
5136,3,10056,3,91,273
5136,4,10090,5,47,235
5137,1,10067,5,76,380
5137,2,10107,4,55,220
5137,3,10081,2,119,238
5137,4,10030,1,56,56
5138,1,10028,3,89,267
5138,2,10003,3,30,90
5138,3,10059,5,54,270
5139,1,10078,5,32,160
5140,1,10036,3,87,261
5140,2,10100,1,99,99
5140,3,10113,4,21,84
5141,1,10083,1,79,79
5142,1,10046,3,69,207
5143,1,10064,3,70,210
5143,2,10036,2,84,168
5144,1,10066,3,44,132
5144,2,10043,2,76,152
5144,3,10029,5,25,125
5145,1,10022,3,31,93
5146,1,10003,4,108,432
5146,2,10062,3,102,306
5146,3,10092,3,100,300
5147,1,10100,5,16,80
5147,2,10004,3,95,285
5147,3,10066,5,58,290
5147,4,10095,3,25,75
5147,5,10060,1,72,72
5148,1,10093,1,18,18
5149,1,10104,3,97,291
5150,1,10108,4,34,136
5150,2,10081,5,98,490
5150,3,10011,4,85,340
5151,1,10014,4,31,124
5151,2,10087,1,87,87
5152,1,10097,5,18,90
5152,2,10101,1,98,98
5152,3,10053,1,115,115
5153,1,10084,5,120,600
5153,2,10046,3,82,246
5153,3,10021,1,83,83
5153,4,10082,1,113,113
5153,5,10088,4,31,124
5154,1,10053,5,60,300
5154,2,10093,4,116,464
5154,3,10105,5,104,520
5154,4,10007,2,93,186
5155,1,10079,1,100,100
5156,1,10035,5,112,560
5156,2,10039,5,92,460
5156,3,10024,2,24,48
5156,4,10096,3,104,312
5156,5,10020,2,53,106
5157,1,10045,2,23,46
5157,2,10027,4,36,144
5157,3,10100,4,54,216
5157,4,10005,2,68,136
5157,5,10040,5,57,285
5158,1,10069,5,86,430
5158,2,10093,4,64,256
5158,3,10048,2,103,206
5158,4,10034,3,99,297
5159,1,10017,3,64,192
5159,2,10004,1,75,75
5160,1,10067,4,72,288
5160,2,10112,2,97,194
5160,3,10101,5,50,250
5160,4,10026,2,98,196
5161,1,10031,3,110,330
5161,2,10027,2,95,190
5161,3,10041,3,107,321
5162,1,10049,3,61,183
5162,2,10105,2,69,138
5162,3,10113,2,49,98
5163,1,10065,3,32,96
5163,2,10085,4,82,328
5164,1,10043,4,51,204
5164,2,10064,1,101,101
5165,1,10015,5,38,190
5165,2,10060,5,80,400
5166,1,10017,4,25,100
5166,2,10049,1,41,41
5166,3,10051,4,18,72
5166,4,10064,1,34,34
5166,5,10003,1,100,100
5167,1,10077,3,18,54
5167,2,10100,2,112,224
5167,3,10065,3,73,219
5168,1,10037,1,40,40
5168,2,10046,5,101,505
5168,3,10019,1,110,110
5168,4,10017,2,85,170
5169,1,10089,1,19,19
5169,2,10010,5,102,510
5170,1,10053,4,30,120
5171,1,10044,5,91,455
5171,2,10074,4,26,104
5172,1,10014,5,97,485
5172,2,10093,2,59,118
5172,3,10101,1,117,117
5172,4,10087,4,45,180
5172,5,10021,5,50,250
5173,1,10107,4,62,248
5173,2,10064,2,32,64
5174,1,10045,5,120,600
5174,2,10047,4,57,228
5174,3,10011,2,71,142
5174,4,10002,3,108,324
5175,1,10051,2,57,114
5175,2,10035,3,39,117
5175,3,10019,1,103,103
5176,1,10082,5,103,515
5176,2,10054,1,46,46
5176,3,10106,3,104,312
5176,4,10079,3,77,231
5176,5,10020,3,119,357
5177,1,10070,2,99,198
5178,1,10047,3,76,228
5178,2,10045,3,77,231
5179,1,10025,1,63,63
5179,2,10092,4,114,456
5179,3,10005,2,104,208
5179,4,10101,4,62,248
5179,5,10100,4,46,184
5180,1,10027,5,115,575
5180,2,10045,3,107,321
5180,3,10039,1,58,58
5181,1,10079,1,22,22
5181,2,10083,5,90,450
5181,3,10014,4,77,308
5181,4,10100,1,38,38
5182,1,10023,3,98,294
5183,1,10067,4,93,372
5183,2,10009,5,65,325
5184,1,10003,3,105,315
5184,2,10072,5,88,440
5184,3,10011,1,93,93
5184,4,10075,2,65,130
5184,5,10036,2,25,50
5185,1,10067,2,116,232
5185,2,10068,2,62,124
5185,3,10037,4,83,332
5186,1,10029,3,85,255
5186,2,10016,4,62,248
5186,3,10023,2,116,232
5186,4,10074,2,98,196
5187,1,10090,2,34,68
5187,2,10052,5,42,210
5188,1,10048,4,37,148
5188,2,10095,2,57,114
5189,1,10004,1,89,89
5189,2,10094,5,68,340
5189,3,10041,5,22,110
5189,4,10045,3,56,168
5189,5,10005,5,94,470
5190,1,10087,1,76,76
5190,2,10090,5,20,100
5191,1,10093,2,108,216
5191,2,10053,1,39,39
5191,3,10064,1,47,47
5192,1,10057,3,79,237
5192,2,10007,4,66,264
5192,3,10110,4,51,204
5192,4,10019,4,67,268
5192,5,10076,2,37,74
5193,1,10078,3,63,189
5193,2,10067,3,85,255
5193,3,10075,5,40,200
5193,4,10111,5,109,545
5193,5,10044,4,93,372
5194,1,10022,2,115,230
5194,2,10051,5,24,120
5194,3,10050,5,85,425
5194,4,10097,5,56,280
5194,5,10019,5,30,150
5195,1,10057,4,101,404
5195,2,10042,3,112,336
5195,3,10101,5,76,380
5196,1,10100,4,65,260
5196,2,10014,1,56,56
5197,1,10061,1,96,96
5197,2,10022,5,83,415
5198,1,10085,1,112,112
5198,2,10097,5,32,160
5199,1,10089,3,91,273
5199,2,10063,4,26,104
5199,3,10078,1,39,39
5200,1,10093,3,75,225
