product_id,source_query_category,title,isbn,authors,publisher,publish_year,publish_date_raw,page_count,language,category_name,unit,suggested_unit_price,status,openlibrary_key
10017,计算机,Database systems,9780132943260,Thomas Connolly; Carolyn Begg,Addison Wesley,2001.0,,1338.0,eng,计算机,本,79.0,onsale,/works/OL18156628W
10018,计算机,Principles of database systems,9780914894131,Jeffrey D. Ullman,Pitman,1980.0,,484.0,eng,计算机,本,79.0,onsale,/works/OL2640324W
10019,计算机,Computer system architecture,9781405825160,M. Morris Mano,"Pearson Education, Limited",1983.0,,531.0,"eng,und",计算机,本,79.0,onsale,/works/OL11309879W
10020,计算机,Computer systems,9780134123837,Randal Bryant; Randal E. Bryant; David R. O'Hallaron,Pearson Education,2002.0,,1079.0,eng,计算机,本,79.0,onsale,/works/OL12343250W
10021,计算机,Computer systems design and architecture,9780130484406,Vincent P. Heuring,Pearson/Prentice Hall,1997.0,,608.0,eng,计算机,本,79.0,onsale,/works/OL3335981W
10022,计算机,Computer system architecture,9780131757387,M. Morris Mano,Prentice-Hall,1976.0,,525.0,eng,计算机,本,79.0,onsale,/works/OL3281306W
10023,计算机,Computer systems,9780763771447,J. Stanley Warford,Jones & Bartlett Publishers,1998.0,,539.0,eng,计算机,本,79.0,onsale,/works/OL1830511W
10024,计算机,Computer systems architecture,9780716780328,Jean Loup Baer,Computer Science Press,1980.0,,626.0,eng,计算机,本,79.0,onsale,/works/OL6570137W
10025,计算机,Computer Systems: A Programmer's Perspective (3rd Edition),9780134092669,Randal E. Bryant; David R. O'Hallaron,Pearson,2015.0,,1128.0,eng,计算机,本,79.0,onsale,/works/OL19545341W
10026,计算机,Understanding computer systems,9789173723336,Harold W. Lawson,Chartwell-Bratt,1979.0,,150.0,eng,计算机,本,79.0,onsale,/works/OL4125347W
10027,计算机,Elements of Computing Systems,9780262640688,Noam Nisan; Shimon Schocken,MIT Press,2008.0,,344.0,eng,计算机,本,79.0,onsale,/works/OL21015000W
10028,计算机,The art of computer systems performance analysis,9781118858356,Raj Jain,Wiley,1991.0,,768.0,eng,计算机,本,79.0,onsale,/works/OL3933961W
10029,计算机,Computer Systems Organization and Architecture,9780201612530,John D. Carpinelli,Addison Wesley,2000.0,,584.0,eng,计算机,本,79.0,onsale,/works/OL8021046W
10030,计算机,The Elements of Computing Systems,9780262140874,Noam Nisan; Shimon Schocken,The MIT Press,2005.0,,,,计算机,本,79.0,onsale,/works/OL19550033W
10031,计算机,Racing the Beam,9780262012577,Nick Montfort; Ian Bogost,The MIT Press,2009.0,,192.0,eng,计算机,本,79.0,onsale,/works/OL9261290W
10032,计算机,Design of real time computer systems,9780132014007,James Martin,Prentice-Hall,1967.0,,629.0,eng,计算机,本,79.0,onsale,/works/OL861049W
10033,计算机,Computer Systems Architecture,9781482231069,Aharon Yadin,Taylor & Francis Group,2016.0,,445.0,eng,计算机,本,79.0,onsale,/works/OL22147218W
10034,计算机,Simulating computer systems,9780262132299,M. H. MacDougall,MIT Press,1987.0,,292.0,eng,计算机,本,79.0,onsale,/works/OL4958709W
10035,计算机,Computer System Design,9781118009918,Michael J. Flynn; Wayne Luk,"Wiley & Sons, Limited, John",2011.0,,320.0,eng,计算机,本,79.0,onsale,/works/OL21456827W
10036,计算机,Programming real-time computer systems,9780137305070,James Martin,Prentice-Hall,1965.0,,386.0,eng,计算机,本,79.0,onsale,/works/OL2354714W
10037,计算机,Core Python Programming,9789390457151,R. Nageswara Rao,Willy,2016.0,,,"hin,eng",计算机,本,79.0,onsale,/works/OL30906747W
10038,计算机,Black Hat Python,9781593275907,Justin Seitz; Tim Arnold,Wydawnictwo Helion,2014.0,,192.0,"eng,pol",计算机,本,79.0,onsale,/works/OL19547345W
10039,计算机,Core Python programming,9780132269933,Wesley Chun,Pearson Education,2006.0,,1077.0,eng,计算机,本,79.0,onsale,/works/OL12409294W
10040,计算机,Python Programming,9789354973765,Reema Thareja,Oxford University Press India,2019.0,,,eng,计算机,本,79.0,onsale,/works/OL26755050W
10041,计算机,Python programming,9781887902991,John M. Zelle,"Franklin, Beedle & Associates, Incorporated",2003.0,,528.0,eng,计算机,本,79.0,onsale,/works/OL6037340W
10042,计算机,Learning Python,9788173667381,Mark Lutz; David Ascher,Shroff Publishers & Distributors Pvt. Ltd.,1999.0,,591.0,"eng,ger",计算机,本,79.0,onsale,/works/OL2784125W
10043,计算机,Python Programming Crash Course,9798846955790,Alex Jaxson,Independently Published,2022.0,,,eng,计算机,本,79.0,onsale,/works/OL29179198W
10044,计算机,Python Programming,9781951339944,Sarah Stewart,Platinum Press LLC,2019.0,,180.0,,计算机,本,79.0,onsale,/works/OL25171735W
10045,计算机,Python Programming,9781542988940,Adam Stewart,Createspace Independent Publishing Platform,2016.0,,98.0,eng,计算机,本,79.0,onsale,/works/OL24567802W
10046,计算机,Python,9781543252217,Joshua Welsh,CreateSpace Independent Publishing Platform,2017.0,,384.0,eng,计算机,本,79.0,onsale,/works/OL20212390W
10047,计算机,Python Programming,9789332585348,"Naveen ,Kumar and Taneja Sheetal",PEARSON INDIA,2017.0,,,,计算机,本,79.0,onsale,/works/OL27103303W
10048,计算机,Introduction to Python Programming,9780815394372,Gowrishankar S; Veena A,Taylor & Francis Group,2018.0,,444.0,eng,计算机,本,79.0,onsale,/works/OL25217001W
10049,计算机,Python programming in context,9781284175554,Bradley N. Miller,Jones and Bartlett Publishers,2009.0,,498.0,eng,计算机,本,79.0,onsale,/works/OL5830811W
10050,计算机,Python Programming,9781032028491,Vijaya Kumara Sarma; Vimal Kumar; Swati Sharma; Shashwat Pathak,Taylor & Francis Group,2021.0,,316.0,eng,计算机,本,79.0,onsale,/works/OL25320045W
10051,计算机,Murach's Python Programming (2nd Edition),9781943872749,Joel Murach; Michael Urban,"Murach & Associates, Incorporated, Mike",2016.0,,564.0,eng,计算机,本,79.0,onsale,/works/OL25315386W
10052,计算机,Python for Beginners : 2 Books in 1,9798722827302,Programming Languages ACADEMY,Independently Published,2021.0,,,eng,计算机,本,79.0,onsale,/works/OL30980985W
10053,计算机,Programming Python,9789350232873,Mark Lutz,"O'Reilly Media, Incorporated",1996.0,,1584.0,eng,计算机,本,79.0,onsale,/works/OL2784126W
10054,计算机,Python Programming For Beginners,9781521432341,Python Programming; Michael Knapp,Michael Knapp,2015.0,,,eng,计算机,本,79.0,onsale,/works/OL17755203W
10055,计算机,Murach's Python Programming,9781890774974,Michael Urban; Joel Murach,Murach Books,2016.0,,590.0,eng,计算机,本,79.0,onsale,/works/OL19546354W
10056,文学,The Norton book of classical literature,9780393034264,Bernard MacGregor Walker Knox,Norton,1993.0,,866.0,eng,文学,本,49.0,onsale,/works/OL16578442W
10057,文学,The Book of Five Rings,9781548127596,Musashi Miyamoto,CreateSpace Independent Publishing Platform,2013.0,,50.0,"eng,spa",文学,本,49.0,onsale,/works/OL39568417W
10058,文学,Idiot,9781539004950,Фёдор Михайлович Достоевский; Eva Martin,Summit Press,1869.0,,545.0,"ger,eng,rus",文学,本,49.0,onsale,/works/OL40756839W
10059,文学,The Secret Garden,9781977930231,Frances Hodgson Burnett,Brand: CreateSpace Independent Publishing Platform,1911.0,,256.0,"eng,spa,und",文学,本,49.0,onsale,/works/OL69612W
10060,文学,Treasure Island,9781497354975,Robert Louis Stevenson,Gallimard,1880.0,,248.0,"cor,ger,heb",文学,本,49.0,onsale,/works/OL24034W
10061,文学,Orlando,9798681983439,Virginia Woolf,New American Library,1928.0,,226.0,"ger,heb,slv",文学,本,49.0,onsale,/works/OL39360W
10062,文学,White Fang,9781847498014,Jack London,Young Readers' Classics,1905.0,,237.0,"ger,eng,kor",文学,本,49.0,onsale,/works/OL74504W
10063,文学,The Moon Pool,9798461321680,A. Merritt,Nasionale Boekhandel,1919.0,,286.0,"fre,eng",文学,本,49.0,onsale,/works/OL4104767W
10064,文学,Ethan Frome,9781507585559,Edith Wharton,Classic Books Library,1910.0,,98.0,"ger,eng,kor",文学,本,49.0,onsale,/works/OL98501W
10065,文学,The Scarlet Letter,9798463083326,Nathaniel Hawthorne,Artemis-verlag,1800.0,,272.0,"ger,heb,pol",文学,本,49.0,onsale,/works/OL455305W
10066,文学,Heidi,9782070586646,"Spyri, Johanna",Whitman,1885.0,,284.0,"ger,eng,kor",文学,本,49.0,onsale,/works/OL1455042W
10067,文学,The Oxford companion to classical literature,9780198600817,M. C. Howatson,Oxford University Press,1989.0,,615.0,eng,文学,本,49.0,onsale,/works/OL4639089W
10068,文学,Pollyanna,9781070647005,Eleanor Hodgman Porter; Porter; Neil Reed; Lee Giles,A. L. Burt Co.,1912.0,,194.0,"heb,chi,eng",文学,本,49.0,onsale,/works/OL2775807W
10069,文学,Harper's dictionary of classical literature and antiquities,9780815401766,"Peck, Harry Thurston",Cooper Square Pub,1896.0,,1701.0,eng,文学,本,49.0,onsale,/works/OL2342915W
10070,文学,Utilitarianism,9781512151275,John Mill,CreateSpace Independent Publishing Platform,1863.0,,70.0,eng,文学,本,49.0,onsale,/works/OL40720408W
10071,文学,The Oxford companion to classical literature,9780198661030,Sir Paul Harvey,Clarendon Press,1937.0,,468.0,eng,文学,本,49.0,onsale,/works/OL5351881W
10072,文学,Professor,9781975717766,Charlotte Brontë,Mybook,1857.0,,244.0,eng,文学,本,49.0,onsale,/works/OL40838648W
10073,文学,Classical Literature,9781136736599,Neil Croally; Roy Hyde,Routledge,2011.0,,432.0,eng,文学,本,49.0,onsale,/works/OL21629221W
10074,文学,The reluctant dragon,9798442512304,Kenneth Grahame; Jim Weiss; Ernest H. Shepard; Michael Hague,"Holt, Rinehart, and Winston",1938.0,,38.0,eng,文学,本,49.0,onsale,/works/OL69602W
10075,文学,The Norton Anthology of World Literature,9780393656022,Martin Puchner; Suzanne Conklin Akbari; Wiebke Denecke; Barbara Fuchs; Caroline Levine,"Norton & Company Limited, W. W.",2012.0,,1376.0,eng,文学,本,49.0,onsale,/works/OL20776250W
10076,文学,The Norton anthology of world literature,9780393152494,Sarah N. Lawall; Maynard Mack,W.W. Norton,2001.0,,1896.0,eng,文学,本,49.0,onsale,/works/OL18606623W
10077,文学,The Norton anthology of world literature,9780393913347,Martin Puchner,W.W. Norton & Co.,2012.0,,1504.0,eng,文学,本,49.0,onsale,/works/OL16299410W
10078,文学,The Bedford anthology of world literature,9780312402624,Paul Davis; Gary Harrison; David M. Johnson; Patricia Clark Smith; John F. Crawford,Bedford/St. Martin's,2002.0,,1150.0,eng,文学,本,49.0,onsale,/works/OL17864096W
10079,文学,World literature -- revised edition,9780030514098,Susan Wittig Albert; Chinua Achebe; Jorge Luis Borges; Albert Camus; Антон Павлович Чехов,"Holt, Rinehart and Winston",1998.0,,1504.0,eng,文学,本,49.0,onsale,/works/OL16024673W
10080,文学,75 Short Masterpieces,9789994911233,Roger B. Goodman; Ambrose Bierce; Ray Bradbury; Антон Павлович Чехов,Bantam Books,1961.0,,283.0,eng,文学,本,49.0,onsale,/works/OL3762003W
10081,文学,Brave New World,9781521308578,Aldous Huxley,Bange C. GmbH,1932.0,,241.0,"glg,jpn,cze",文学,本,49.0,onsale,/works/OL64365W
10082,文学,World Literature 1999,9780785418283,Jack Cassidy; Arthur Conan Doyle; Isaac Asimov; Rudolf Lorenzen; Robert D. San Souci,American Guidance Services Inc.,1999.0,,464.0,eng,文学,本,49.0,onsale,/works/OL18183808W
10083,文学,What is world literature?,9780691049854,David Damrosch,Princeton University Press,2003.0,,324.0,eng,文学,本,49.0,onsale,/works/OL550259W
10084,文学,The War of the Worlds,9783257201710,H. G. Wells,"Little, Brown Book Group Limited",,,206.0,"ger,eng,mon",文学,本,49.0,onsale,/works/OL52114W
10085,文学,The Norton anthology of world literature,9780393977592,Sarah N. Lawall; Maynard Mack,W W Norton & Co Inc,2001.0,,563.0,eng,文学,本,49.0,onsale,/works/OL15163066W
10086,文学,World Literature Instructor's Manual,9780844254814,Donna Rosenberg,National Textbook Company,1992.0,,,eng,文学,本,49.0,onsale,/works/OL1981906W
10087,文学,"The Norton Anthology of World Literature, Vol. F",9780393924510,Sarah N. Lawall,W W Norton & Co Inc (Np),2002.0,,,eng,文学,本,49.0,onsale,/works/OL7005840W
10088,文学,World Literature,9780844254821,Donna Rosenberg; Фёдор Михайлович Достоевский; Антон Павлович Чехов; Chinua Achebe; Jorge Luis Borges,National Textbook Company,1992.0,,884.0,eng,文学,本,49.0,onsale,/works/OL14996137W
10089,文学,Guide to modern world literature,9780333427941,Martin Seymour-Smith,Papermac,1973.0,,1206.0,eng,文学,本,49.0,onsale,/works/OL1838990W
10090,文学,"Prentice Hall Literature--Timeless Voices, Timeless Themes--World Literature",9780130508362,Carol Domblewski; Chinua Achebe; Anna Akhmatova; Dante Alighieri; Isabel Allende,Prentice Hall,2001.0,,,eng,文学,本,49.0,onsale,/works/OL24558227W
10091,文学,Masterpieces of world literature in digest form,9780060037505,Frank N. Magill,HarperCollins Publishers,1952.0,,1240.0,eng,文学,本,49.0,onsale,/works/OL6576777W
10092,文学,Essentials of British and World Literature,9780030791796,Kylene Beers; Chinua Achebe; Margaret Atwood; Jorge Luis Borges; Антон Павлович Чехов,Holt Rinehart & Winston,2006.0,,1674.0,eng,文学,本,49.0,onsale,/works/OL270749W
10093,文学,The Lost World,9798696445403,Arthur Conan Doyle,Babblebooks,1900.0,,238.0,"ger,eng,spa",文学,本,49.0,onsale,/works/OL262460W
10094,文学,November 9,9781508284987,Colleen Hoover,Simon & Schuster,2015.0,,320.0,eng,文学,本,49.0,onsale,/works/OL20018811W
10095,文学,Confess,9781476791456,Colleen Hoover,Cengage Gale,2015.0,,320.0,"tur,spa,eng",文学,本,49.0,onsale,/works/OL19998163W
10096,文学,The Hating Game,9780062439598,Sally Thorne,PIATKUS,2016.0,,379.0,eng,文学,本,49.0,onsale,/works/OL20032935W
10097,文学,Drama,9788417108588,Raina Telgemeier,"Scholastic Canada, Limited",2012.0,,240.0,"spa,fre,eng",文学,本,49.0,onsale,/works/OL16793507W
10098,文学,The Spanish Love Deception,9798705893843,Elena Armas,Simon & Schuster Audio and Blackstone Publishing,2021.0,,480.0,eng,文学,本,49.0,onsale,/works/OL26345722W
10099,文学,Haunted,9788497934893,Chuck Palahniuk,Random House Mondadori,2005.0,,432.0,"eng,ita,spa",文学,本,49.0,onsale,/works/OL18931W
10100,文学,Maurice,9782264012739,E. M. Forster,Alianza Editorial Sa,1971.0,,256.0,"heb,eng,spa",文学,本,49.0,onsale,/works/OL88877W
10101,文学,Icebreaker,9788466679299,Hannah Grace,Take university press,2020.0,,448.0,"eng,spa",文学,本,49.0,onsale,/works/OL28952677W
10102,文学,Infinite Jest,9783499249570,David Foster Wallace,Quetzal,1996.0,,1104.0,"eng,ita,por",文学,本,49.0,onsale,/works/OL2943602W
10103,文学,Middlesex,9788467202281,Jeffrey Eugenides,RBA,2002.0,,546.0,"spa,ger,eng",文学,本,49.0,onsale,/works/OL3951520W
10104,文学,Push,9781784877361,"Sapphire; Tayari Jones; Sapphire; Sapphire, Lofton, Ramona",VINTAGE,1996.0,,176.0,"fre,spa,ger",文学,本,49.0,onsale,/works/OL47292W
10105,文学,Post office,9780061492570,Charles Bukowski,Ecco,1974.0,,160.0,"rus,ger,eng",文学,本,49.0,onsale,/works/OL50457W
10106,文学,Eleven Minutes,9780061835575,Paulo Coelho,HarperCollins Publishers Australia,2003.0,,304.0,eng,文学,本,49.0,onsale,/works/OL796601W
10107,文学,Uprooted,9780804179034,Naomi Novik,Macmillan,2015.0,,438.0,eng,文学,本,49.0,onsale,/works/OL17345493W
10108,文学,Insomnia,9785170178285,Stephen King,AST,1994.0,,719.0,"spa,eng,fre",文学,本,49.0,onsale,/works/OL81603W
10109,文学,Ugly Love,9788501105738,Colleen Hoover,Galera Record,2014.0,,344.0,"tur,por,eng",文学,本,49.0,onsale,/works/OL20577143W
10110,文学,Little Fires Everywhere,9783423147231,Celeste Ng,Penguin Publishing Group,2014.0,,384.0,"ger,eng",文学,本,49.0,onsale,/works/OL17821431W
10111,文学,Daemon,9780525951117,Daniel Suarez,Penguin Audio,2009.0,,540.0,eng,文学,本,49.0,onsale,/works/OL13646905W
10112,文学,Making Money,9788499899657,Terry Pratchett,Goldmann,2007.0,,400.0,"eng,pol,ger",文学,本,49.0,onsale,/works/OL453907W
10113,文学,Purple Hibiscus,9788535918502,Chimamanda Ngozi Adichie,Bonnier pocket,2003.0,,307.0,"swe,spa,eng",文学,本,49.0,onsale,/works/OL5731538W
