customer_id,member_no,level,points,join_date
2175,M2175,bronze,3058,2026-02-07
2176,M2176,bronze,3075,2026-02-08
2177,M2177,bronze,3092,2026-02-09
2178,M2178,bronze,3109,2026-02-10
2179,M2179,bronze,3126,2026-02-11
2180,M2180,bronze,3143,2026-02-12
2181,M2181,bronze,3160,2026-02-13
2182,M2182,bronze,3177,2026-02-14
2183,M2183,bronze,3194,2026-02-15
2184,M2184,bronze,3211,2026-02-16
2185,M2185,bronze,3228,2026-02-17
2186,M2186,bronze,3245,2026-02-18
2187,M2187,bronze,3262,2026-02-19
2188,M2188,bronze,3279,2026-02-20
2189,M2189,bronze,3296,2026-02-21
2190,M2190,bronze,3313,2026-02-22
2191,M2191,bronze,3330,2026-02-23
2192,M2192,bronze,3347,2026-02-24
2193,M2193,bronze,3364,2026-02-25
2194,M2194,bronze,3381,2026-02-26
2195,M2195,bronze,3398,2026-02-27
2196,M2196,bronze,3415,2026-02-28
2197,M2197,bronze,3432,2026-02-01
2198,M2198,bronze,3449,2026-02-02
2199,M2199,bronze,3466,2026-02-03
2200,M2200,bronze,3483,2026-02-04
2201,M2201,bronze,3500,2026-02-05
2202,M2202,bronze,3517,2026-02-06
2203,M2203,bronze,3534,2026-02-07
2204,M2204,bronze,3551,2026-02-08
2205,M2205,bronze,3568,2026-02-09
2206,M2206,bronze,3585,2026-02-10
2207,M2207,bronze,3602,2026-02-11
2208,M2208,bronze,3619,2026-02-12
2209,M2209,bronze,3636,2026-02-13
2210,M2210,bronze,3653,2026-02-14
2211,M2211,bronze,3670,2026-02-15
2212,M2212,bronze,3687,2026-02-16
2213,M2213,bronze,3704,2026-02-17
2214,M2214,bronze,3721,2026-02-18
2215,M2215,bronze,3738,2026-02-19
2216,M2216,bronze,3755,2026-02-20
2217,M2217,bronze,3772,2026-02-21
2218,M2218,bronze,3789,2026-02-22
2219,M2219,bronze,3806,2026-02-23
2220,M2220,bronze,3823,2026-02-24
2221,M2221,bronze,3840,2026-02-25
2222,M2222,bronze,3857,2026-02-26
2223,M2223,bronze,3874,2026-02-27
2224,M2224,bronze,3891,2026-02-28
2225,M2225,bronze,3908,2026-02-01
2226,M2226,bronze,3925,2026-02-02
2227,M2227,bronze,3942,2026-02-03
2228,M2228,bronze,3959,2026-02-04
2229,M2229,bronze,3976,2026-02-05
2230,M2230,bronze,3993,2026-02-06
2231,M2231,bronze,4010,2026-02-07
2232,M2232,bronze,4027,2026-02-08
2233,M2233,bronze,4044,2026-02-09
2234,M2234,bronze,4061,2026-02-10
2235,M2235,bronze,4078,2026-02-11
2236,M2236,bronze,4095,2026-02-12
2237,M2237,bronze,4112,2026-02-13
2238,M2238,bronze,4129,2026-02-14
2239,M2239,bronze,4146,2026-02-15
2240,M2240,bronze,4163,2026-02-16
2241,M2241,bronze,4180,2026-02-17
2242,M2242,bronze,4197,2026-02-18
2243,M2243,bronze,4214,2026-02-19
2244,M2244,bronze,4231,2026-02-20
2245,M2245,bronze,4248,2026-02-21
2246,M2246,bronze,4265,2026-02-22
2247,M2247,bronze,4282,2026-02-23
2248,M2248,bronze,4299,2026-02-24
2249,M2249,bronze,4316,2026-02-25
2250,M2250,bronze,4333,2026-02-26
2251,M2251,bronze,4350,2026-02-27
2252,M2252,bronze,4367,2026-02-28
2253,M2253,bronze,4384,2026-02-01
2254,M2254,bronze,4401,2026-02-02
2255,M2255,bronze,4418,2026-02-03
2256,M2256,bronze,4435,2026-02-04
2257,M2257,bronze,4452,2026-02-05
2258,M2258,bronze,4469,2026-02-06
2259,M2259,bronze,4486,2026-02-07
2260,M2260,bronze,4503,2026-02-08
2261,M2261,bronze,4520,2026-02-09
2262,M2262,bronze,4537,2026-02-10
2263,M2263,bronze,4554,2026-02-11
2264,M2264,bronze,4571,2026-02-12
2265,M2265,bronze,4588,2026-02-13
2266,M2266,bronze,4605,2026-02-14
2267,M2267,bronze,4622,2026-02-15
2268,M2268,bronze,4639,2026-02-16
2269,M2269,bronze,4656,2026-02-17
2270,M2270,bronze,4673,2026-02-18
2271,M2271,bronze,4690,2026-02-19
2272,M2272,bronze,4707,2026-02-20
2273,M2273,bronze,4724,2026-02-21
2274,M2274,bronze,4741,2026-02-22
2275,M2275,bronze,4758,2026-02-23
2276,M2276,bronze,4775,2026-02-24
2277,M2277,bronze,4792,2026-02-25
2278,M2278,bronze,4809,2026-02-26
2279,M2279,bronze,4826,2026-02-27
2280,M2280,bronze,4843,2026-02-28
2281,M2281,bronze,4860,2026-02-01
2282,M2282,bronze,4877,2026-02-02
2283,M2283,bronze,4894,2026-02-03
2284,M2284,bronze,4911,2026-02-04
2285,M2285,bronze,4928,2026-02-05
2286,M2286,bronze,4945,2026-02-06
2287,M2287,bronze,4962,2026-02-07
2288,M2288,bronze,4979,2026-02-08
2289,M2289,bronze,4996,2026-02-09
2290,M2290,bronze,5013,2026-02-10
2291,M2291,bronze,5030,2026-02-11
2292,M2292,bronze,5047,2026-02-12
2293,M2293,bronze,5064,2026-02-13
2294,M2294,bronze,5081,2026-02-14
2295,M2295,bronze,5098,2026-02-15
2296,M2296,bronze,115,2026-02-16
2297,M2297,bronze,132,2026-02-17
2298,M2298,bronze,149,2026-02-18
2299,M2299,bronze,166,2026-02-19
2300,M2300,bronze,183,2026-02-20
2301,M2301,bronze,200,2026-02-21
2302,M2302,bronze,217,2026-02-22
2303,M2303,bronze,234,2026-02-23
2304,M2304,bronze,251,2026-02-24
2305,M2305,bronze,268,2026-02-25
2306,M2306,bronze,285,2026-02-26
2307,M2307,bronze,302,2026-02-27
2308,M2308,bronze,319,2026-02-28
2309,M2309,bronze,336,2026-02-01
2310,M2310,bronze,353,2026-02-02
2311,M2311,bronze,370,2026-02-03
2312,M2312,bronze,387,2026-02-04
2313,M2313,bronze,404,2026-02-05
2314,M2314,bronze,421,2026-02-06
2315,M2315,bronze,438,2026-02-07
2316,M2316,bronze,455,2026-02-08
2317,M2317,bronze,472,2026-02-09
2318,M2318,bronze,489,2026-02-10
2319,M2319,bronze,506,2026-02-11
2320,M2320,bronze,523,2026-02-12
2321,M2321,bronze,540,2026-02-13
2322,M2322,bronze,557,2026-02-14
2323,M2323,bronze,574,2026-02-15
2324,M2324,bronze,591,2026-02-16
2325,M2325,bronze,608,2026-02-17
2326,M2326,bronze,625,2026-02-18
2327,M2327,bronze,642,2026-02-19
2328,M2328,bronze,659,2026-02-20
2329,M2329,bronze,676,2026-02-21
2330,M2330,bronze,693,2026-02-22
2331,M2331,bronze,710,2026-02-23
2332,M2332,bronze,727,2026-02-24
2333,M2333,bronze,744,2026-02-25
2334,M2334,bronze,761,2026-02-26
2335,M2335,bronze,778,2026-02-27
2336,M2336,bronze,795,2026-02-28
2337,M2337,bronze,812,2026-02-01
2338,M2338,bronze,829,2026-02-02
2339,M2339,bronze,846,2026-02-03
2340,M2340,bronze,863,2026-02-04
2341,M2341,bronze,880,2026-02-05
2342,M2342,bronze,897,2026-02-06
2343,M2343,bronze,914,2026-02-07
2344,M2344,bronze,931,2026-02-08
2345,M2345,bronze,948,2026-02-09
2346,M2346,bronze,965,2026-02-10
2347,M2347,bronze,982,2026-02-11
2348,M2348,bronze,999,2026-02-12
2349,M2349,bronze,1016,2026-02-13
2350,M2350,bronze,1033,2026-02-14
2351,M2351,bronze,1050,2026-02-15
2352,M2352,bronze,1067,2026-02-16
2353,M2353,bronze,1084,2026-02-17
2354,M2354,bronze,1101,2026-02-18
2355,M2355,bronze,1118,2026-02-19
2356,M2356,bronze,1135,2026-02-20
2357,M2357,bronze,1152,2026-02-21
2358,M2358,bronze,1169,2026-02-22
2359,M2359,bronze,1186,2026-02-23
2360,M2360,bronze,1203,2026-02-24
2361,M2361,bronze,1220,2026-02-25
2362,M2362,bronze,1237,2026-02-26
2363,M2363,bronze,1254,2026-02-27
2364,M2364,bronze,1271,2026-02-28
2365,M2365,bronze,1288,2026-02-01
2366,M2366,bronze,1305,2026-02-02
2367,M2367,bronze,1322,2026-02-03
2368,M2368,bronze,1339,2026-02-04
2369,M2369,bronze,1356,2026-02-05
2370,M2370,bronze,1373,2026-02-06
2371,M2371,bronze,1390,2026-02-07
2372,M2372,bronze,1407,2026-02-08
2373,M2373,bronze,1424,2026-02-09
2374,M2374,bronze,1441,2026-02-10
2375,M2375,bronze,1458,2026-02-11
2376,M2376,bronze,1475,2026-02-12
2377,M2377,bronze,1492,2026-02-13
2378,M2378,bronze,1509,2026-02-14
2379,M2379,bronze,1526,2026-02-15
2380,M2380,bronze,1543,2026-02-16
2381,M2381,bronze,1560,2026-02-17
2382,M2382,bronze,1577,2026-02-18
2383,M2383,bronze,1594,2026-02-19
2384,M2384,bronze,1611,2026-02-20
2385,M2385,bronze,1628,2026-02-21
2386,M2386,bronze,1645,2026-02-22
2387,M2387,bronze,1662,2026-02-23
2388,M2388,bronze,1679,2026-02-24
2389,M2389,bronze,1696,2026-02-25
2390,M2390,bronze,1713,2026-02-26
2391,M2391,bronze,1730,2026-02-27
2392,M2392,bronze,1747,2026-02-28
2393,M2393,bronze,1764,2026-02-01
2394,M2394,bronze,1781,2026-02-02
2395,M2395,bronze,1798,2026-02-03
2396,M2396,bronze,1815,2026-02-04
2397,M2397,bronze,1832,2026-02-05
2398,M2398,bronze,1849,2026-02-06
2399,M2399,bronze,1866,2026-02-07
2400,M2400,bronze,1883,2026-02-08
2401,M2401,bronze,1900,2026-02-09
2402,M2402,bronze,1917,2026-02-10
2403,M2403,bronze,1934,2026-02-11
2404,M2404,bronze,1951,2026-02-12
2405,M2405,bronze,1968,2026-02-13
2406,M2406,bronze,1985,2026-02-14
2407,M2407,bronze,2002,2026-02-15
2408,M2408,bronze,2019,2026-02-16
2409,M2409,bronze,2036,2026-02-17
2410,M2410,bronze,2053,2026-02-18
2411,M2411,bronze,2070,2026-02-19
2412,M2412,bronze,2087,2026-02-20
2413,M2413,bronze,2104,2026-02-21
2414,M2414,bronze,2121,2026-02-22
2415,M2415,bronze,2138,2026-02-23
2416,M2416,bronze,2155,2026-02-24
2417,M2417,bronze,2172,2026-02-25
2418,M2418,bronze,2189,2026-02-26
2419,M2419,bronze,2206,2026-02-27
2420,M2420,bronze,2223,2026-02-28
2421,M2421,bronze,2240,2026-02-01
2422,M2422,bronze,2257,2026-02-02
2423,M2423,bronze,2274,2026-02-03
2424,M2424,bronze,2291,2026-02-04
2425,M2425,bronze,2308,2026-02-05
2426,M2426,bronze,2325,2026-02-06
2427,M2427,bronze,2342,2026-02-07
2428,M2428,bronze,2359,2026-02-08
2429,M2429,bronze,2376,2026-02-09
2430,M2430,bronze,2393,2026-02-10
2431,M2431,bronze,2410,2026-02-11
2432,M2432,bronze,2427,2026-02-12
2433,M2433,bronze,2444,2026-02-13
2434,M2434,bronze,2461,2026-02-14
2435,M2435,bronze,2478,2026-02-15
2436,M2436,bronze,2495,2026-02-16
2437,M2437,bronze,2512,2026-02-17
2438,M2438,bronze,2529,2026-02-18
2439,M2439,bronze,2546,2026-02-19
2440,M2440,bronze,2563,2026-02-20
2441,M2441,bronze,2580,2026-02-21
2442,M2442,bronze,2597,2026-02-22
2443,M2443,bronze,2614,2026-02-23
2444,M2444,bronze,2631,2026-02-24
2445,M2445,bronze,2648,2026-02-25
2446,M2446,bronze,2665,2026-02-26
2447,M2447,bronze,2682,2026-02-27
2448,M2448,bronze,2699,2026-02-28
2449,M2449,bronze,2716,2026-02-01
2450,M2450,bronze,2733,2026-02-02
2451,M2451,silver,2750,2026-02-03
2452,M2452,silver,2767,2026-02-04
2453,M2453,silver,2784,2026-02-05
2454,M2454,silver,2801,2026-02-06
2455,M2455,silver,2818,2026-02-07
2456,M2456,silver,2835,2026-02-08
2457,M2457,silver,2852,2026-02-09
2458,M2458,silver,2869,2026-02-10
2459,M2459,silver,2886,2026-02-11
2460,M2460,silver,2903,2026-02-12
2461,M2461,silver,2920,2026-02-13
2462,M2462,silver,2937,2026-02-14
2463,M2463,silver,2954,2026-02-15
2464,M2464,silver,2971,2026-02-16
2465,M2465,silver,2988,2026-02-17
2466,M2466,silver,3005,2026-02-18
2467,M2467,silver,3022,2026-02-19
2468,M2468,silver,3039,2026-02-20
2469,M2469,silver,3056,2026-02-21
2470,M2470,silver,3073,2026-02-22
2471,M2471,silver,3090,2026-02-23
2472,M2472,silver,3107,2026-02-24
2473,M2473,silver,3124,2026-02-25
2474,M2474,silver,3141,2026-02-26
2475,M2475,silver,3158,2026-02-27
2476,M2476,silver,3175,2026-02-28
2477,M2477,silver,3192,2026-02-01
2478,M2478,silver,3209,2026-02-02
2479,M2479,silver,3226,2026-02-03
2480,M2480,silver,3243,2026-02-04
2481,M2481,silver,3260,2026-02-05
2482,M2482,silver,3277,2026-02-06
2483,M2483,silver,3294,2026-02-07
2484,M2484,silver,3311,2026-02-08
2485,M2485,silver,3328,2026-02-09
2486,M2486,silver,3345,2026-02-10
2487,M2487,silver,3362,2026-02-11
2488,M2488,silver,3379,2026-02-12
2489,M2489,silver,3396,2026-02-13
2490,M2490,silver,3413,2026-02-14
2491,M2491,silver,3430,2026-02-15
2492,M2492,silver,3447,2026-02-16
2493,M2493,silver,3464,2026-02-17
2494,M2494,silver,3481,2026-02-18
2495,M2495,silver,3498,2026-02-19
2496,M2496,silver,3515,2026-02-20
2497,M2497,silver,3532,2026-02-21
2498,M2498,silver,3549,2026-02-22
2499,M2499,silver,3566,2026-02-23
2500,M2500,silver,3583,2026-02-24
2501,M2501,silver,3600,2026-02-25
2502,M2502,silver,3617,2026-02-26
2503,M2503,silver,3634,2026-02-27
2504,M2504,silver,3651,2026-02-28
2505,M2505,silver,3668,2026-02-01
2506,M2506,silver,3685,2026-02-02
2507,M2507,silver,3702,2026-02-03
2508,M2508,silver,3719,2026-02-04
2509,M2509,silver,3736,2026-02-05
2510,M2510,silver,3753,2026-02-06
2511,M2511,silver,3770,2026-02-07
2512,M2512,silver,3787,2026-02-08
2513,M2513,silver,3804,2026-02-09
2514,M2514,silver,3821,2026-02-10
2515,M2515,silver,3838,2026-02-11
2516,M2516,silver,3855,2026-02-12
2517,M2517,silver,3872,2026-02-13
2518,M2518,silver,3889,2026-02-14
2519,M2519,silver,3906,2026-02-15
2520,M2520,silver,3923,2026-02-16
2521,M2521,silver,3940,2026-02-17
2522,M2522,silver,3957,2026-02-18
2523,M2523,silver,3974,2026-02-19
2524,M2524,silver,3991,2026-02-20
2525,M2525,silver,4008,2026-02-21
2526,M2526,silver,4025,2026-02-22
2527,M2527,silver,4042,2026-02-23
2528,M2528,silver,4059,2026-02-24
2529,M2529,silver,4076,2026-02-25
2530,M2530,silver,4093,2026-02-26
2531,M2531,silver,4110,2026-02-27
2532,M2532,silver,4127,2026-02-28
2533,M2533,silver,4144,2026-02-01
2534,M2534,silver,4161,2026-02-02
2535,M2535,silver,4178,2026-02-03
2536,M2536,silver,4195,2026-02-04
2537,M2537,silver,4212,2026-02-05
2538,M2538,silver,4229,2026-02-06
2539,M2539,silver,4246,2026-02-07
2540,M2540,silver,4263,2026-02-08
2541,M2541,silver,4280,2026-02-09
2542,M2542,silver,4297,2026-02-10
2543,M2543,silver,4314,2026-02-11
2544,M2544,silver,4331,2026-02-12
2545,M2545,silver,4348,2026-02-13
2546,M2546,silver,4365,2026-02-14
2547,M2547,silver,4382,2026-02-15
2548,M2548,silver,4399,2026-02-16
2549,M2549,silver,4416,2026-02-17
2550,M2550,silver,4433,2026-02-18
2551,M2551,silver,4450,2026-02-19
2552,M2552,silver,4467,2026-02-20
2553,M2553,silver,4484,2026-02-21
2554,M2554,silver,4501,2026-02-22
2555,M2555,silver,4518,2026-02-23
2556,M2556,silver,4535,2026-02-24
2557,M2557,silver,4552,2026-02-25
2558,M2558,silver,4569,2026-02-26
2559,M2559,silver,4586,2026-02-27
2560,M2560,silver,4603,2026-02-28
2561,M2561,silver,4620,2026-02-01
2562,M2562,silver,4637,2026-02-02
2563,M2563,silver,4654,2026-02-03
2564,M2564,silver,4671,2026-02-04
2565,M2565,silver,4688,2026-02-05
2566,M2566,silver,4705,2026-02-06
2567,M2567,silver,4722,2026-02-07
2568,M2568,silver,4739,2026-02-08
2569,M2569,silver,4756,2026-02-09
2570,M2570,silver,4773,2026-02-10
2571,M2571,silver,4790,2026-02-11
2572,M2572,silver,4807,2026-02-12
2573,M2573,silver,4824,2026-02-13
2574,M2574,silver,4841,2026-02-14
2575,M2575,silver,4858,2026-02-15
2576,M2576,silver,4875,2026-02-16
2577,M2577,silver,4892,2026-02-17
2578,M2578,silver,4909,2026-02-18
2579,M2579,silver,4926,2026-02-19
2580,M2580,silver,4943,2026-02-20
2581,M2581,silver,4960,2026-02-21
2582,M2582,silver,4977,2026-02-22
2583,M2583,silver,4994,2026-02-23
2584,M2584,silver,5011,2026-02-24
2585,M2585,silver,5028,2026-02-25
2586,M2586,silver,5045,2026-02-26
2587,M2587,silver,5062,2026-02-27
2588,M2588,silver,5079,2026-02-28
2589,M2589,silver,5096,2026-02-01
2590,M2590,silver,113,2026-02-02
2591,M2591,silver,130,2026-02-03
2592,M2592,silver,147,2026-02-04
2593,M2593,silver,164,2026-02-05
2594,M2594,silver,181,2026-02-06
2595,M2595,silver,198,2026-02-07
2596,M2596,silver,215,2026-02-08
2597,M2597,silver,232,2026-02-09
2598,M2598,silver,249,2026-02-10
2599,M2599,silver,266,2026-02-11
2600,M2600,silver,283,2026-02-12
2601,M2601,silver,300,2026-02-13
2602,M2602,silver,317,2026-02-14
2603,M2603,silver,334,2026-02-15
2604,M2604,silver,351,2026-02-16
2605,M2605,silver,368,2026-02-17
2606,M2606,silver,385,2026-02-18
2607,M2607,silver,402,2026-02-19
2608,M2608,silver,419,2026-02-20
2609,M2609,silver,436,2026-02-21
2610,M2610,silver,453,2026-02-22
2611,M2611,silver,470,2026-02-23
2612,M2612,silver,487,2026-02-24
2613,M2613,silver,504,2026-02-25
2614,M2614,silver,521,2026-02-26
2615,M2615,silver,538,2026-02-27
2616,M2616,silver,555,2026-02-28
2617,M2617,silver,572,2026-02-01
2618,M2618,silver,589,2026-02-02
2619,M2619,silver,606,2026-02-03
2620,M2620,silver,623,2026-02-04
2621,M2621,silver,640,2026-02-05
2622,M2622,silver,657,2026-02-06
2623,M2623,silver,674,2026-02-07
2624,M2624,silver,691,2026-02-08
2625,M2625,silver,708,2026-02-09
2626,M2626,silver,725,2026-02-10
2627,M2627,silver,742,2026-02-11
2628,M2628,silver,759,2026-02-12
2629,M2629,silver,776,2026-02-13
2630,M2630,silver,793,2026-02-14
2631,M2631,silver,810,2026-02-15
2632,M2632,silver,827,2026-02-16
2633,M2633,silver,844,2026-02-17
2634,M2634,silver,861,2026-02-18
2635,M2635,silver,878,2026-02-19
2636,M2636,silver,895,2026-02-20
2637,M2637,silver,912,2026-02-21
2638,M2638,silver,929,2026-02-22
2639,M2639,silver,946,2026-02-23
2640,M2640,silver,963,2026-02-24
2641,M2641,silver,980,2026-02-25
2642,M2642,silver,997,2026-02-26
2643,M2643,silver,1014,2026-02-27
2644,M2644,silver,1031,2026-02-28
2645,M2645,silver,1048,2026-02-01
2646,M2646,silver,1065,2026-02-02
2647,M2647,silver,1082,2026-02-03
2648,M2648,silver,1099,2026-02-04
2649,M2649,silver,1116,2026-02-05
2650,M2650,silver,1133,2026-02-06
2651,M2651,silver,1150,2026-02-07
2652,M2652,silver,1167,2026-02-08
2653,M2653,silver,1184,2026-02-09
2654,M2654,silver,1201,2026-02-10
2655,M2655,silver,1218,2026-02-11
2656,M2656,silver,1235,2026-02-12
2657,M2657,silver,1252,2026-02-13
2658,M2658,silver,1269,2026-02-14
2659,M2659,silver,1286,2026-02-15
2660,M2660,silver,1303,2026-02-16
2661,M2661,silver,1320,2026-02-17
2662,M2662,silver,1337,2026-02-18
2663,M2663,silver,1354,2026-02-19
2664,M2664,silver,1371,2026-02-20
2665,M2665,silver,1388,2026-02-21
2666,M2666,silver,1405,2026-02-22
2667,M2667,silver,1422,2026-02-23
2668,M2668,silver,1439,2026-02-24
2669,M2669,silver,1456,2026-02-25
2670,M2670,silver,1473,2026-02-26
2671,M2671,silver,1490,2026-02-27
2672,M2672,silver,1507,2026-02-28
2673,M2673,silver,1524,2026-02-01
2674,M2674,silver,1541,2026-02-02
2675,M2675,silver,1558,2026-02-03
2676,M2676,silver,1575,2026-02-04
2677,M2677,silver,1592,2026-02-05
2678,M2678,silver,1609,2026-02-06
2679,M2679,silver,1626,2026-02-07
2680,M2680,silver,1643,2026-02-08
2681,M2681,silver,1660,2026-02-09
