category_id,category_name,parent_category_id,source_site,source_category_id,source_category_name,source_category_path,is_book,is_leaf
63,儿童文学,62,新华书店网,55,儿童文学,少儿童书>儿童文学,1,0
64,中国儿童文学,63,新华书店网,116,中国儿童文学,少儿童书>儿童文学>中国儿童文学,1,1
65,外国儿童文学,63,新华书店网,117,外国儿童文学,少儿童书>儿童文学>外国儿童文学,1,1
66,童话寓言,63,新华书店网,118,童话寓言,少儿童书>儿童文学>童话寓言,1,1
67,动漫绘本,62,新华书店网,57,动漫绘本,少儿童书>动漫绘本,1,0
68,儿童绘本,67,新华书店网,119,儿童绘本,少儿童书>动漫绘本>儿童绘本,1,1
69,启蒙益智,62,新华书店网,59,启蒙益智,少儿童书>启蒙益智,1,0
70,益智游戏,69,新华书店网,121,益智游戏,少儿童书>启蒙益智>益智游戏,1,1
71,书法绘画,69,新华书店网,122,书法绘画,少儿童书>启蒙益智>书法绘画,1,1
72,艺术培养,69,新华书店网,123,艺术培养,少儿童书>启蒙益智>艺术培养,1,1
73,识字说话,69,新华书店网,240,识字说话,少儿童书>启蒙益智>识字说话,1,1
74,科普百科,69,新华书店网,241,科普百科,少儿童书>启蒙益智>科普百科,1,1
75,低幼读物,69,新华书店网,242,低幼读物,少儿童书>启蒙益智>低幼读物,1,1
76,教育考试,1,新华书店网,36,教育考试,教育考试,1,0
77,中小学教辅,76,新华书店网,61,中小学教辅,教育考试>中小学教辅,1,0
78,小学数学,77,新华书店网,124,小学数学,教育考试>中小学教辅>小学数学,1,1
79,小学语文,77,新华书店网,125,小学语文,教育考试>中小学教辅>小学语文,1,1
80,小学教材,77,新华书店网,126,小学教材,教育考试>中小学教辅>小学教材,1,1
81,初中语文,77,新华书店网,127,初中语文,教育考试>中小学教辅>初中语文,1,1
82,初中数学,77,新华书店网,128,初中数学,教育考试>中小学教辅>初中数学,1,1
83,初中英语,77,新华书店网,129,初中英语,教育考试>中小学教辅>初中英语,1,1
84,初中理化,77,新华书店网,130,初中理化,教育考试>中小学教辅>初中理化,1,1
85,初中教材,77,新华书店网,131,初中教材,教育考试>中小学教辅>初中教材,1,1
86,高中语文,77,新华书店网,132,高中语文,教育考试>中小学教辅>高中语文,1,1
87,高中数学,77,新华书店网,133,高中数学,教育考试>中小学教辅>高中数学,1,1
88,高中外语,77,新华书店网,134,高中外语,教育考试>中小学教辅>高中外语,1,1
89,高中理化,77,新华书店网,135,高中理化,教育考试>中小学教辅>高中理化,1,1
90,外语学习,76,新华书店网,62,外语学习,教育考试>外语学习,1,0
91,英语,90,新华书店网,136,英语,教育考试>外语学习>英语,1,1
92,小语种,90,新华书店网,137,小语种,教育考试>外语学习>小语种,1,1
93,大中专教材,76,新华书店网,64,大中专教材,教育考试>大中专教材,1,0
94,大学教材,93,新华书店网,138,大学教材,教育考试>大中专教材>大学教材,1,1
95,成人教育,93,新华书店网,139,成人教育,教育考试>大中专教材>成人教育,1,1
96,字典词典,76,新华书店网,65,字典词典,教育考试>字典词典,1,0
97,字典词典、工具书,96,新华书店网,140,字典词典、工具书,教育考试>字典词典>字典词典、工具书,1,1
98,考试,76,新华书店网,184,考试,教育考试>考试,1,0
99,计算机类,98,新华书店网,185,计算机类,教育考试>考试>计算机类,1,1
100,其它语种,98,新华书店网,186,其它语种,教育考试>考试>其它语种,1,1
101,其它考试,98,新华书店网,187,其它考试,教育考试>考试>其它考试,1,1
102,经济金融,1,新华书店网,37,经济金融,经济金融,1,0
103,管理,102,新华书店网,66,管理,经济金融>管理,1,0
104,市场营销,103,新华书店网,177,市场营销,经济金融>管理>市场营销,1,1
105,管理学,103,新华书店网,178,管理学,经济金融>管理>管理学,1,1
106,公共关系,103,新华书店网,179,公共关系,经济金融>管理>公共关系,1,1
107,旅游管理,103,新华书店网,212,旅游管理,经济金融>管理>旅游管理,1,1
108,生产管理,103,新华书店网,213,生产管理,经济金融>管理>生产管理,1,1
109,工商管理,103,新华书店网,214,工商管理,经济金融>管理>工商管理,1,1
110,企业经营管理,103,新华书店网,215,企业经营管理,经济金融>管理>企业经营管理,1,1
111,经济,102,新华书店网,67,经济,经济金融>经济,1,0
112,中国经济,111,新华书店网,180,中国经济,经济金融>经济>中国经济,1,1
113,世界经济,111,新华书店网,181,世界经济,经济金融>经济>世界经济,1,1
114,工业经济,111,新华书店网,182,工业经济,经济金融>经济>工业经济,1,1
115,贸易,111,新华书店网,216,贸易,经济金融>经济>贸易,1,1
116,交通经济,111,新华书店网,217,交通经济,经济金融>经济>交通经济,1,1
117,企业经济,111,新华书店网,218,企业经济,经济金融>经济>企业经济,1,1
118,产业经济,111,新华书店网,219,产业经济,经济金融>经济>产业经济,1,1
119,金融会计,102,新华书店网,68,金融会计,经济金融>金融会计,1,0
120,金融,119,新华书店网,220,金融,经济金融>金融会计>金融,1,1
121,会计,119,新华书店网,221,会计,经济金融>金融会计>会计,1,1
122,成功励志,102,新华书店网,710,成功励志,经济金融>成功励志,1,0
123,成功励志（成功励志）,122,新华书店网,711,成功励志,经济金融>成功励志>成功励志,1,1
124,生活休闲,1,新华书店网,38,生活休闲,生活休闲,1,0
125,时尚娱乐,124,新华书店网,69,时尚娱乐,生活休闲>时尚娱乐,1,0
126,服饰搭配,125,新华书店网,144,服饰搭配,生活休闲>时尚娱乐>服饰搭配,1,1
127,休闲游戏,125,新华书店网,145,休闲游戏,生活休闲>时尚娱乐>休闲游戏,1,1
128,美容护肤,125,新华书店网,146,美容护肤,生活休闲>时尚娱乐>美容护肤,1,1
129,家庭家居,124,新华书店网,70,家庭家居,生活休闲>家庭家居,1,0
130,宠物,129,新华书店网,147,宠物,生活休闲>家庭家居>宠物,1,1
131,家装家饰,129,新华书店网,148,家装家饰,生活休闲>家庭家居>家装家饰,1,1
132,家庭园艺,129,新华书店网,149,家庭园艺,生活休闲>家庭家居>家庭园艺,1,1
133,生活DIY,129,新华书店网,222,生活DIY,生活休闲>家庭家居>生活DIY,1,1
134,养生保健,124,新华书店网,71,养生保健,生活休闲>养生保健,1,0
135,健康百科,134,新华书店网,150,健康百科,生活休闲>养生保健>健康百科,1,1
136,家庭保健,134,新华书店网,151,家庭保健,生活休闲>养生保健>家庭保健,1,1
137,烹饪美食,124,新华书店网,72,烹饪美食,生活休闲>烹饪美食,1,0
138,家常菜谱,137,新华书店网,156,家常菜谱,生活休闲>烹饪美食>家常菜谱,1,1
139,茶酒饮品,137,新华书店网,157,茶酒饮品,生活休闲>烹饪美食>茶酒饮品,1,1
140,烘焙甜品,137,新华书店网,158,烘焙甜品,生活休闲>烹饪美食>烘焙甜品,1,1
141,育儿早教,124,新华书店网,73,育儿早教,生活休闲>育儿早教,1,0
142,育儿百科,141,新华书店网,154,育儿百科,生活休闲>育儿早教>育儿百科,1,1
143,家庭教育,141,新华书店网,155,家庭教育,生活休闲>育儿早教>家庭教育,1,1
144,体育运动,124,新华书店网,74,体育运动,生活休闲>体育运动,1,0
145,体育理论与规则,144,新华书店网,152,体育理论与规则,生活休闲>体育运动>体育理论与规则,1,1
146,球类运动,144,新华书店网,153,球类运动,生活休闲>体育运动>球类运动,1,1
147,其他运动,144,新华书店网,223,其他运动,生活休闲>体育运动>其他运动,1,1
148,旅游地图,124,新华书店网,75,旅游地图,生活休闲>旅游地图,1,0
149,国外游,148,新华书店网,159,国外游,生活休闲>旅游地图>国外游,1,1
150,旅游随笔/摄影,148,新华书店网,160,旅游随笔/摄影,生活休闲>旅游地图>旅游随笔/摄影,1,1
151,地图,148,新华书店网,161,地图,生活休闲>旅游地图>地图,1,1
152,科学技术,1,新华书店网,39,科学技术,科学技术,1,0
153,工业科技,152,新华书店网,76,工业科技,科学技术>工业科技,1,0
154,轻工业,153,新华书店网,162,轻工业,科学技术>工业科技>轻工业,1,1
155,机械工业,153,新华书店网,163,机械工业,科学技术>工业科技>机械工业,1,1
156,化学工业,153,新华书店网,164,化学工业,科学技术>工业科技>化学工业,1,1
157,电子通讯,153,新华书店网,224,电子通讯,科学技术>工业科技>电子通讯,1,1
158,能源,153,新华书店网,225,能源,科学技术>工业科技>能源,1,1
159,交通运输,153,新华书店网,226,交通运输,科学技术>工业科技>交通运输,1,1
160,航空航天,153,新华书店网,227,航空航天,科学技术>工业科技>航空航天,1,1
161,矿业工程,153,新华书店网,228,矿业工程,科学技术>工业科技>矿业工程,1,1
162,建筑,152,新华书店网,77,建筑,科学技术>建筑,1,0
163,建筑理论与文化,162,新华书店网,165,建筑理论与文化,科学技术>建筑>建筑理论与文化,1,1
164,建筑设计,162,新华书店网,166,建筑设计,科学技术>建筑>建筑设计,1,1
165,建筑工程,162,新华书店网,167,建筑工程,科学技术>建筑>建筑工程,1,1
166,水利水电,162,新华书店网,229,水利水电,科学技术>建筑>水利水电,1,1
167,医学,152,新华书店网,78,医学,科学技术>医学,1,0
168,基础医学,167,新华书店网,168,基础医学,科学技术>医学>基础医学,1,1
169,临床医学,167,新华书店网,169,临床医学,科学技术>医学>临床医学,1,1
170,中医,167,新华书店网,170,中医,科学技术>医学>中医,1,1
171,药学,167,新华书店网,230,药学,科学技术>医学>药学,1,1
172,外科学,167,新华书店网,231,外科学,科学技术>医学>外科学,1,1
173,内科学,167,新华书店网,232,内科学,科学技术>医学>内科学,1,1
174,儿科学,167,新华书店网,233,儿科学,科学技术>医学>儿科学,1,1
175,妇产科学,167,新华书店网,234,妇产科学,科学技术>医学>妇产科学,1,1
176,自然科学,152,新华书店网,79,自然科学,科学技术>自然科学,1,0
177,自然科普,176,新华书店网,171,自然科普,科学技术>自然科学>自然科普,1,1
178,数学,176,新华书店网,172,数学,科学技术>自然科学>数学,1,1
179,物理,176,新华书店网,173,物理,科学技术>自然科学>物理,1,1
180,化学,176,新华书店网,236,化学,科学技术>自然科学>化学,1,1
181,生物科学,176,新华书店网,237,生物科学,科学技术>自然科学>生物科学,1,1
182,天文地理,176,新华书店网,238,天文地理,科学技术>自然科学>天文地理,1,1
183,其他自然科学,176,新华书店网,239,其他自然科学,科学技术>自然科学>其他自然科学,1,1
184,家居/生活用品,2,新华书店网,991,家居/生活用品,家居/生活用品,0,0
185,居家日用,184,新华书店网,992,居家日用,家居/生活用品>居家日用,0,0
186,暖手宝/热水袋,185,新华书店网,993,暖手宝/热水袋,家居/生活用品>居家日用>暖手宝/热水袋,0,1
187,眼罩,185,新华书店网,994,眼罩,家居/生活用品>居家日用>眼罩,0,1
188,伞,185,新华书店网,995,伞,家居/生活用品>居家日用>伞,0,1
189,体温计,185,新华书店网,996,体温计,家居/生活用品>居家日用>体温计,0,1
190,迷你风扇,185,新华书店网,997,迷你风扇,家居/生活用品>居家日用>迷你风扇,0,1
191,扇子,185,新华书店网,998,扇子,家居/生活用品>居家日用>扇子,0,1
192,挂钩,185,新华书店网,999,挂钩,家居/生活用品>居家日用>挂钩,0,1
193,干衣架,185,新华书店网,1000,干衣架,家居/生活用品>居家日用>干衣架,0,1
194,肥皂架,185,新华书店网,1001,肥皂架,家居/生活用品>居家日用>肥皂架,0,1
195,杯垫,185,新华书店网,1002,杯垫,家居/生活用品>居家日用>杯垫,0,1
196,驱虫用品,185,新华书店网,1365,驱虫用品,家居/生活用品>居家日用>驱虫用品,0,1
197,浴室用品,185,新华书店网,1450,浴室用品,家居/生活用品>居家日用>浴室用品,0,1
198,医疗防护,184,新华书店网,1003,医疗防护,家居/生活用品>医疗防护,0,0
199,防护眼镜,198,新华书店网,1004,防护眼镜,家居/生活用品>医疗防护>防护眼镜,0,1
200,口罩,198,新华书店网,1005,口罩,家居/生活用品>医疗防护>口罩,0,1
201,医疗急救,198,新华书店网,1466,医疗急救,家居/生活用品>医疗防护>医疗急救,0,1
202,收纳,184,新华书店网,1006,收纳,家居/生活用品>收纳,0,0
203,家庭收纳,202,新华书店网,1007,家庭收纳,家居/生活用品>收纳>家庭收纳,0,1
204,证照收纳,202,新华书店网,1008,证照收纳,家居/生活用品>收纳>证照收纳,0,1
205,文件收纳,202,新华书店网,1009,文件收纳,家居/生活用品>收纳>文件收纳,0,1
206,柜式收纳,202,新华书店网,1010,柜式收纳,家居/生活用品>收纳>柜式收纳,0,1
207,家务清洁,184,新华书店网,1011,家务清洁,家居/生活用品>家务清洁,0,0
208,除味用品,207,新华书店网,1012,除味用品,家居/生活用品>家务清洁>除味用品,0,1
209,垃圾桶,207,新华书店网,1013,垃圾桶,家居/生活用品>家务清洁>垃圾桶,0,1
210,垃圾袋,207,新华书店网,1014,垃圾袋,家居/生活用品>家务清洁>垃圾袋,0,1
211,抹布/百洁布,207,新华书店网,1015,抹布/百洁布,家居/生活用品>家务清洁>抹布/百洁布,0,1
212,清洁剂,207,新华书店网,1016,清洁剂,家居/生活用品>家务清洁>清洁剂,0,1
213,手套/鞋套/围裙,207,新华书店网,1017,手套/鞋套/围裙,家居/生活用品>家务清洁>手套/鞋套/围裙,0,1
214,卫生间清洁,207,新华书店网,1429,卫生间清洁,家居/生活用品>家务清洁>卫生间清洁,0,1
215,洗护清洁,184,新华书店网,1018,洗护清洁,家居/生活用品>洗护清洁,0,0
216,抽纸,215,新华书店网,1019,抽纸,家居/生活用品>洗护清洁>抽纸,0,1
217,卷纸,215,新华书店网,1020,卷纸,家居/生活用品>洗护清洁>卷纸,0,1
218,湿巾,215,新华书店网,1021,湿巾,家居/生活用品>洗护清洁>湿巾,0,1
219,衣物清洁,215,新华书店网,1022,衣物清洁,家居/生活用品>洗护清洁>衣物清洁,0,1
220,洗脸巾,215,新华书店网,1023,洗脸巾,家居/生活用品>洗护清洁>洗脸巾,0,1
221,洗手液,215,新华书店网,1024,洗手液,家居/生活用品>洗护清洁>洗手液,0,1
222,足浴饼,215,新华书店网,1350,足浴饼,家居/生活用品>洗护清洁>足浴饼,0,1
223,梳子,215,新华书店网,1362,梳子,家居/生活用品>洗护清洁>梳子,0,1
224,皂,215,新华书店网,1410,皂,家居/生活用品>洗护清洁>皂,0,1
225,日常护理,215,新华书店网,1419,日常护理,家居/生活用品>洗护清洁>日常护理,0,1
226,家纺布艺,184,新华书店网,1025,家纺布艺,家居/生活用品>家纺布艺,0,0
227,床上用品,226,新华书店网,1026,床上用品,家居/生活用品>家纺布艺>床上用品,0,1
228,地毯/地垫,226,新华书店网,1027,地毯/地垫,家居/生活用品>家纺布艺>地毯/地垫,0,1
229,靠枕/抱枕,226,新华书店网,1028,靠枕/抱枕,家居/生活用品>家纺布艺>靠枕/抱枕,0,1
230,毛巾/浴巾/浴袍,226,新华书店网,1029,毛巾/浴巾/浴袍,家居/生活用品>家纺布艺>毛巾/浴巾/浴袍,0,1
231,厨房/餐饮用具,184,新华书店网,1030,厨房/餐饮用具,家居/生活用品>厨房/餐饮用具,0,0
232,水具,231,新华书店网,1031,水具,家居/生活用品>厨房/餐饮用具>水具,0,1
233,茶具,231,新华书店网,1032,茶具,家居/生活用品>厨房/餐饮用具>茶具,0,1
234,酒具,231,新华书店网,1033,酒具,家居/生活用品>厨房/餐饮用具>酒具,0,1
235,餐具,231,新华书店网,1034,餐具,家居/生活用品>厨房/餐饮用具>餐具,0,1
236,烹饪用具,231,新华书店网,1035,烹饪用具,家居/生活用品>厨房/餐饮用具>烹饪用具,0,1
237,保鲜器具,231,新华书店网,1036,保鲜器具,家居/生活用品>厨房/餐饮用具>保鲜器具,0,1
238,一次性餐桌用品,231,新华书店网,1037,一次性餐桌用品,家居/生活用品>厨房/餐饮用具>一次性餐桌用品,0,1
239,小工具,231,新华书店网,1412,小工具,家居/生活用品>厨房/餐饮用具>小工具,0,1
240,节庆用品/礼品,184,新华书店网,1038,节庆用品/礼品,家居/生活用品>节庆用品/礼品,0,0
241,红包/利是封,240,新华书店网,1039,红包/利是封,家居/生活用品>节庆用品/礼品>红包/利是封,0,1
242,节庆用品,240,新华书店网,1040,节庆用品,家居/生活用品>节庆用品/礼品>节庆用品,0,1
243,储蓄罐,240,新华书店网,1343,储蓄罐,家居/生活用品>节庆用品/礼品>储蓄罐,0,1
244,创意礼盒,240,新华书店网,1352,创意礼盒,家居/生活用品>节庆用品/礼品>创意礼盒,0,1
245,保健用品,184,新华书店网,1406,保健用品,家居/生活用品>保健用品,0,0
246,中医保健,245,新华书店网,1407,中医保健,家居/生活用品>保健用品>中医保健,0,1
247,浴室用品（家居/生活用品）,184,新华书店网,1448,浴室用品,家居/生活用品>浴室用品,0,1
248,学习用品,2,新华书店网,1042,学习用品,学习用品,0,0
249,阅读器,248,新华书店网,1043,阅读器,学习用品>阅读器,0,0
250,阅览器/电纸书,249,新华书店网,1044,阅览器/电纸书,学习用品>阅读器>阅览器/电纸书,0,1
251,阅读器保护套,249,新华书店网,1045,阅读器保护套,学习用品>阅读器>阅读器保护套,0,1
252,学习机,248,新华书店网,1046,学习机,学习用品>学习机,0,0
253,学习机（学习机）,252,新华书店网,1047,学习机,学习用品>学习机>学习机,0,1
254,电子词典,248,新华书店网,1048,电子词典,学习用品>电子词典,0,0
255,词典笔,254,新华书店网,1394,词典笔,学习用品>电子词典>词典笔,0,1
256,纸张本册,248,新华书店网,1049,纸张本册,学习用品>纸张本册,0,0
257,笔记本/记事本,256,新华书店网,1050,笔记本/记事本,学习用品>纸张本册>笔记本/记事本,0,1
258,便签本/N次贴,256,新华书店网,1051,便签本/N次贴,学习用品>纸张本册>便签本/N次贴,0,1
259,拍纸本/日程本,256,新华书店网,1052,拍纸本/日程本,学习用品>纸张本册>拍纸本/日程本,0,1
260,信封,256,新华书店网,1053,信封,学习用品>纸张本册>信封,0,1
261,奖状/证书,256,新华书店网,1054,奖状/证书,学习用品>纸张本册>奖状/证书,0,1
262,复写纸,256,新华书店网,1055,复写纸,学习用品>纸张本册>复写纸,0,1
263,分页/索引/标签,256,新华书店网,1056,分页/索引/标签,学习用品>纸张本册>分页/索引/标签,0,1
264,明信片/卡片,256,新华书店网,1057,明信片/卡片,学习用品>纸张本册>明信片/卡片,0,1
265,单词卡,256,新华书店网,1058,单词卡,学习用品>纸张本册>单词卡,0,1
266,作业本,256,新华书店网,1059,作业本,学习用品>纸张本册>作业本,0,1
267,手账本,256,新华书店网,1353,手账本,学习用品>纸张本册>手账本,0,1
268,书写工具,248,新华书店网,1060,书写工具,学习用品>书写工具,0,0
269,中性笔,268,新华书店网,1061,中性笔,学习用品>书写工具>中性笔,0,1
270,钢笔,268,新华书店网,1062,钢笔,学习用品>书写工具>钢笔,0,1
271,铅笔/自动铅笔,268,新华书店网,1063,铅笔/自动铅笔,学习用品>书写工具>铅笔/自动铅笔,0,1
272,圆珠笔,268,新华书店网,1064,圆珠笔,学习用品>书写工具>圆珠笔,0,1
273,荧光笔,268,新华书店网,1065,荧光笔,学习用品>书写工具>荧光笔,0,1
274,记号笔,268,新华书店网,1066,记号笔,学习用品>书写工具>记号笔,0,1
275,笔用墨水,268,新华书店网,1067,笔用墨水,学习用品>书写工具>笔用墨水,0,1
276,铅笔芯,268,新华书店网,1068,铅笔芯,学习用品>书写工具>铅笔芯,0,1
277,书画工具,248,新华书店网,1069,书画工具,学习用品>书画工具,0,0
278,彩色铅笔,277,新华书店网,1070,彩色铅笔,学习用品>书画工具>彩色铅笔,0,1
279,勾线笔,277,新华书店网,1071,勾线笔,学习用品>书画工具>勾线笔,0,1
280,画材套装,277,新华书店网,1072,画材套装,学习用品>书画工具>画材套装,0,1
281,画墨,277,新华书店网,1073,画墨,学习用品>书画工具>画墨,0,1
282,画纸,277,新华书店网,1074,画纸,学习用品>书画工具>画纸,0,1
283,蜡笔,277,新华书店网,1075,蜡笔,学习用品>书画工具>蜡笔,0,1
284,临摹桌,277,新华书店网,1076,临摹桌,学习用品>书画工具>临摹桌,0,1
285,毛笔,277,新华书店网,1077,毛笔,学习用品>书画工具>毛笔,0,1
286,水彩笔,277,新华书店网,1078,水彩笔,学习用品>书画工具>水彩笔,0,1
287,颜料,277,新华书店网,1079,颜料,学习用品>书画工具>颜料,0,1
288,砚台,277,新华书店网,1080,砚台,学习用品>书画工具>砚台,0,1
289,印章,277,新华书店网,1081,印章,学习用品>书画工具>印章,0,1
290,镇尺,277,新华书店网,1082,镇尺,学习用品>书画工具>镇尺,0,1
291,镇纸,277,新华书店网,1083,镇纸,学习用品>书画工具>镇纸,0,1
292,笔山/笔架,277,新华书店网,1369,笔山/笔架,学习用品>书画工具>笔山/笔架,0,1
293,日常学习用品,248,新华书店网,1084,日常学习用品,学习用品>日常学习用品,0,0
294,胶粘用品,293,新华书店网,1085,胶粘用品,学习用品>日常学习用品>胶粘用品,0,1
295,修正液/修正带,293,新华书店网,1086,修正液/修正带,学习用品>日常学习用品>修正液/修正带,0,1
296,握笔器,293,新华书店网,1087,握笔器,学习用品>日常学习用品>握笔器,0,1
297,桌面书架,293,新华书店网,1088,桌面书架,学习用品>日常学习用品>桌面书架,0,1
298,书签,293,新华书店网,1089,书签,学习用品>日常学习用品>书签,0,1
299,各类尺/三角板,293,新华书店网,1090,各类尺/三角板,学习用品>日常学习用品>各类尺/三角板,0,1
300,胶水/胶棒,293,新华书店网,1091,胶水/胶棒,学习用品>日常学习用品>胶水/胶棒,0,1
301,纸胶带,293,新华书店网,1092,纸胶带,学习用品>日常学习用品>纸胶带,0,1
302,卷笔刀/削笔器,293,新华书店网,1093,卷笔刀/削笔器,学习用品>日常学习用品>卷笔刀/削笔器,0,1
303,橡皮,293,新华书店网,1094,橡皮,学习用品>日常学习用品>橡皮,0,1
304,学生书包,293,新华书店网,1095,学生书包,学习用品>日常学习用品>学生书包,0,1
305,书立,293,新华书店网,1096,书立,学习用品>日常学习用品>书立,0,1
306,文具收纳,293,新华书店网,1097,文具收纳,学习用品>日常学习用品>文具收纳,0,1
307,其他学习用品,293,新华书店网,1098,其他学习用品,学习用品>日常学习用品>其他学习用品,0,1
308,手写板,293,新华书店网,1099,手写板,学习用品>日常学习用品>手写板,0,1
309,笔袋,293,新华书店网,1346,笔袋,学习用品>日常学习用品>笔袋,0,1
310,文具套装,293,新华书店网,1347,文具套装,学习用品>日常学习用品>文具套装,0,1
311,乐器,248,新华书店网,1100,乐器,学习用品>乐器,0,0
312,口琴,311,新华书店网,1101,口琴,学习用品>乐器>口琴,0,1
313,架子鼓,311,新华书店网,1102,架子鼓,学习用品>乐器>架子鼓,0,1
314,钢琴,311,新华书店网,1103,钢琴,学习用品>乐器>钢琴,0,1
315,3C数码,2,新华书店网,1156,3C数码,3C数码,0,0
316,相机/摄影机,315,新华书店网,1157,相机/摄影机,3C数码>相机/摄影机,0,1
317,电脑周边,315,新华书店网,1158,电脑周边,3C数码>电脑周边,0,0
318,电脑支架,317,新华书店网,1159,电脑支架,3C数码>电脑周边>电脑支架,0,1
319,键盘,317,新华书店网,1160,键盘,3C数码>电脑周边>键盘,0,1
320,麦克风/话筒,317,新华书店网,1161,麦克风/话筒,3C数码>电脑周边>麦克风/话筒,0,1
